alert_id,check_id,severity,status,assigned_to,opened_at,resolved_at,resolution_notes
25,25,LOW,OPEN,79,2023-11-28 15:01:00,,Customer documents verified
26,26,LOW,RESOLVED,125,2023-03-01 07:56:00,2023-03-04 07:56:00,False positive
27,27,MEDIUM,OPEN,141,2025-02-17 17:49:00,,Customer documents verified
28,28,CRITICAL,RESOLVED,194,2023-09-29 16:55:00,2023-10-06 16:55:00,Additional KYC completed
29,29,CRITICAL,IN_PROGRESS,167,2024-12-07 06:45:00,,Escalated to compliance team
30,30,LOW,OPEN,87,2024-03-24 16:28:00,,False positive
31,31,LOW,RESOLVED,162,2024-08-25 17:14:00,2024-08-26 17:14:00,False positive
32,32,LOW,OPEN,132,2023-08-23 02:57:00,,Customer documents verified
33,33,LOW,IN_PROGRESS,147,2023-10-13 21:31:00,,Account temporarily blocked
34,34,LOW,RESOLVED,25,2024-04-29 07:50:00,2024-05-13 07:50:00,Additional KYC completed
35,35,HIGH,RESOLVED,173,2024-03-17 11:27:00,2024-04-14 11:27:00,Additional KYC completed
36,36,HIGH,RESOLVED,28,2024-10-23 03:03:00,2024-11-03 03:03:00,Customer documents verified
37,37,LOW,RESOLVED,119,2023-07-16 06:34:00,2023-07-30 06:34:00,Customer documents verified
38,38,MEDIUM,CLOSED,13,2025-06-14 02:28:00,2025-07-12 02:28:00,Additional KYC completed
39,39,LOW,CLOSED,105,2024-07-07 00:05:00,2024-08-04 00:05:00,Risk accepted
40,40,LOW,RESOLVED,1,2024-05-07 06:55:00,2024-05-09 06:55:00,Risk accepted
41,41,CRITICAL,RESOLVED,143,2023-09-29 14:18:00,2023-10-23 14:18:00,Additional KYC completed
42,42,LOW,OPEN,15,2025-01-05 15:09:00,,Account temporarily blocked
43,43,LOW,RESOLVED,123,2025-01-23 17:03:00,2025-01-25 17:03:00,Account temporarily blocked
44,44,MEDIUM,OPEN,48,2025-05-23 16:10:00,,False positive
45,45,LOW,CLOSED,146,2024-09-01 02:43:00,2024-09-14 02:43:00,Customer documents verified
46,46,MEDIUM,RESOLVED,145,2024-08-15 19:02:00,2024-08-29 19:02:00,Account temporarily blocked
47,47,LOW,RESOLVED,102,2023-11-20 08:13:00,2023-12-01 08:13:00,Customer documents verified
48,48,HIGH,RESOLVED,19,2024-11-18 20:19:00,2024-12-18 20:19:00,False positive
49,49,MEDIUM,CLOSED,130,2024-04-14 19:36:00,2024-04-17 19:36:00,Escalated to compliance team
50,50,LOW,OPEN,73,2023-05-16 11:56:00,,Customer documents verified
51,51,CRITICAL,IN_PROGRESS,168,2024-03-24 17:45:00,,Account temporarily blocked
52,52,MEDIUM,RESOLVED,35,2023-01-09 21:52:00,2023-02-08 21:52:00,Escalated to compliance team
53,53,LOW,RESOLVED,54,2023-04-29 03:47:00,2023-05-08 03:47:00,Additional KYC completed
54,54,MEDIUM,RESOLVED,65,2023-12-18 06:43:00,2023-12-27 06:43:00,False positive
55,55,LOW,CLOSED,198,2023-04-05 20:27:00,2023-04-07 20:27:00,Customer documents verified
56,56,HIGH,RESOLVED,144,2024-10-14 08:10:00,2024-11-01 08:10:00,False positive
57,57,MEDIUM,RESOLVED,95,2023-04-25 02:56:00,2023-04-30 02:56:00,Account temporarily blocked
58,58,LOW,OPEN,11,2024-07-19 04:27:00,,Escalated to compliance team
59,59,HIGH,RESOLVED,105,2023-08-04 21:15:00,2023-08-16 21:15:00,Account temporarily blocked
60,60,LOW,CLOSED,46,2025-02-06 04:59:00,2025-03-06 04:59:00,Risk accepted
61,61,CRITICAL,CLOSED,172,2023-01-26 05:47:00,2023-02-21 05:47:00,Additional KYC completed
62,62,HIGH,OPEN,98,2025-04-10 07:17:00,,False positive
63,63,CRITICAL,OPEN,90,2025-05-29 15:14:00,,Escalated to compliance team
64,64,LOW,OPEN,85,2025-04-20 07:14:00,,Escalated to compliance team
65,65,MEDIUM,IN_PROGRESS,103,2025-06-04 02:49:00,,Additional KYC completed
66,66,HIGH,CLOSED,67,2025-05-13 17:21:00,2025-05-17 17:21:00,Customer documents verified
67,67,MEDIUM,OPEN,187,2024-08-17 08:02:00,,Escalated to compliance team
68,68,HIGH,OPEN,49,2024-03-22 19:32:00,,Escalated to compliance team
69,69,CRITICAL,OPEN,138,2023-02-15 22:27:00,,Additional KYC completed
70,70,MEDIUM,RESOLVED,171,2025-01-06 23:47:00,2025-01-18 23:47:00,Escalated to compliance team
71,71,CRITICAL,CLOSED,130,2024-09-30 10:42:00,2024-10-24 10:42:00,Escalated to compliance team
72,72,MEDIUM,RESOLVED,50,2024-11-13 13:20:00,2024-11-23 13:20:00,Risk accepted
73,73,MEDIUM,RESOLVED,78,2024-11-11 12:43:00,2024-11-17 12:43:00,Risk accepted
74,74,MEDIUM,IN_PROGRESS,149,2024-07-15 00:19:00,,Account temporarily blocked
75,75,LOW,RESOLVED,122,2024-11-01 10:29:00,2024-11-23 10:29:00,Additional KYC completed
76,76,MEDIUM,IN_PROGRESS,159,2023-06-23 21:05:00,,Escalated to compliance team
77,77,HIGH,IN_PROGRESS,38,2023-04-06 07:43:00,,False positive
78,78,LOW,RESOLVED,107,2023-02-17 07:30:00,2023-03-14 07:30:00,Additional KYC completed
79,79,LOW,RESOLVED,38,2024-08-12 06:45:00,2024-08-28 06:45:00,Additional KYC completed
80,80,HIGH,RESOLVED,200,2024-12-05 00:57:00,2024-12-30 00:57:00,Risk accepted
81,81,MEDIUM,CLOSED,143,2023-08-13 05:51:00,2023-08-30 05:51:00,Customer documents verified
82,82,MEDIUM,OPEN,136,2025-05-18 03:29:00,,Account temporarily blocked
83,83,HIGH,CLOSED,130,2024-09-01 10:48:00,2024-09-21 10:48:00,Risk accepted
84,84,HIGH,CLOSED,116,2025-04-30 17:28:00,2025-05-24 17:28:00,Escalated to compliance team
85,85,HIGH,RESOLVED,125,2025-02-08 07:53:00,2025-03-05 07:53:00,Additional KYC completed
86,86,LOW,OPEN,70,2023-09-02 08:28:00,,Escalated to compliance team
87,87,LOW,OPEN,178,2023-11-24 17:05:00,,Customer documents verified
88,88,MEDIUM,RESOLVED,107,2024-12-24 06:04:00,2025-01-04 06:04:00,False positive
89,89,CRITICAL,CLOSED,6,2023-07-31 13:24:00,2023-08-19 13:24:00,Account temporarily blocked
90,90,HIGH,CLOSED,108,2024-01-25 15:00:00,2024-02-04 15:00:00,Account temporarily blocked
91,91,LOW,RESOLVED,57,2025-02-04 23:34:00,2025-03-05 23:34:00,Escalated to compliance team
92,92,MEDIUM,IN_PROGRESS,104,2024-03-22 15:01:00,,Additional KYC completed
93,93,MEDIUM,OPEN,7,2023-06-19 14:58:00,,Risk accepted
94,94,MEDIUM,OPEN,35,2024-08-29 18:42:00,,Risk accepted
95,95,LOW,IN_PROGRESS,84,2023-07-06 01:16:00,,Escalated to compliance team
96,96,MEDIUM,RESOLVED,21,2025-02-18 12:17:00,2025-03-17 12:17:00,Risk accepted
97,97,CRITICAL,OPEN,58,2023-01-20 23:34:00,,Additional KYC completed
98,98,LOW,RESOLVED,6,2023-03-12 20:02:00,2023-03-20 20:02:00,Account temporarily blocked
99,99,MEDIUM,RESOLVED,56,2023-06-06 07:08:00,2023-06-10 07:08:00,Risk accepted
100,100,MEDIUM,IN_PROGRESS,192,2024-12-17 08:49:00,,Additional KYC completed
101,101,LOW,OPEN,80,2023-04-28 05:19:00,,Account temporarily blocked
102,102,LOW,CLOSED,177,2024-11-24 12:25:00,2024-12-01 12:25:00,Additional KYC completed
103,103,MEDIUM,RESOLVED,31,2023-09-06 03:44:00,2023-10-04 03:44:00,Account temporarily blocked
104,104,LOW,RESOLVED,130,2025-03-12 01:22:00,2025-04-03 01:22:00,Additional KYC completed
105,105,LOW,RESOLVED,93,2023-12-16 00:54:00,2024-01-01 00:54:00,Additional KYC completed
106,106,LOW,OPEN,134,2025-04-28 14:45:00,,Additional KYC completed
107,107,MEDIUM,CLOSED,112,2023-10-04 19:51:00,2023-10-29 19:51:00,Additional KYC completed
108,108,CRITICAL,CLOSED,72,2024-08-29 08:20:00,2024-09-25 08:20:00,Risk accepted
109,109,LOW,RESOLVED,127,2023-09-07 14:36:00,2023-09-20 14:36:00,Escalated to compliance team
110,110,LOW,IN_PROGRESS,72,2023-07-06 15:13:00,,Account temporarily blocked
111,111,CRITICAL,OPEN,22,2024-12-19 08:35:00,,Customer documents verified
112,112,MEDIUM,RESOLVED,166,2025-01-07 13:31:00,2025-01-15 13:31:00,Additional KYC completed
113,113,LOW,OPEN,104,2024-05-17 14:50:00,,Additional KYC completed
114,114,MEDIUM,RESOLVED,89,2023-09-07 09:42:00,2023-09-23 09:42:00,Risk accepted
115,115,MEDIUM,IN_PROGRESS,79,2025-02-02 17:21:00,,Escalated to compliance team
116,116,LOW,OPEN,138,2023-08-25 03:46:00,,Additional KYC completed
117,117,HIGH,RESOLVED,195,2023-07-09 06:13:00,2023-07-18 06:13:00,Account temporarily blocked
118,118,LOW,CLOSED,46,2024-09-03 09:06:00,2024-09-13 09:06:00,Escalated to compliance team
119,119,LOW,OPEN,14,2023-01-15 22:34:00,,Account temporarily blocked
120,120,MEDIUM,RESOLVED,4,2023-10-27 22:08:00,2023-11-21 22:08:00,Account temporarily blocked
121,121,CRITICAL,RESOLVED,65,2023-10-19 15:30:00,2023-10-25 15:30:00,Risk accepted
122,122,MEDIUM,RESOLVED,14,2023-04-27 02:25:00,2023-05-16 02:25:00,Customer documents verified
123,123,LOW,OPEN,143,2023-06-02 18:19:00,,Risk accepted
124,124,MEDIUM,RESOLVED,116,2024-09-12 19:50:00,2024-10-07 19:50:00,Risk accepted
125,125,MEDIUM,IN_PROGRESS,157,2023-11-01 18:27:00,,Additional KYC completed
126,126,MEDIUM,IN_PROGRESS,41,2023-04-12 06:40:00,,Customer documents verified
127,127,MEDIUM,OPEN,177,2023-06-27 17:04:00,,Account temporarily blocked
128,128,HIGH,IN_PROGRESS,180,2024-04-26 09:02:00,,Risk accepted
129,129,HIGH,CLOSED,151,2023-03-14 21:14:00,2023-04-09 21:14:00,Additional KYC completed
130,130,LOW,OPEN,39,2025-04-03 06:27:00,,Escalated to compliance team
131,131,HIGH,OPEN,153,2025-04-26 04:04:00,,Additional KYC completed
132,132,LOW,IN_PROGRESS,177,2025-04-24 18:58:00,,Escalated to compliance team
133,133,MEDIUM,RESOLVED,154,2024-12-17 12:17:00,2025-01-02 12:17:00,False positive
134,134,LOW,RESOLVED,173,2024-03-18 23:20:00,2024-03-19 23:20:00,Account temporarily blocked
135,135,MEDIUM,RESOLVED,196,2024-08-24 00:48:00,2024-09-02 00:48:00,Customer documents verified
136,136,LOW,RESOLVED,150,2024-04-26 16:41:00,2024-05-05 16:41:00,Risk accepted
137,137,LOW,RESOLVED,172,2024-10-12 15:05:00,2024-10-26 15:05:00,False positive
138,138,LOW,RESOLVED,103,2025-05-28 05:21:00,2025-06-13 05:21:00,Account temporarily blocked
139,139,LOW,IN_PROGRESS,198,2023-02-07 14:05:00,,Risk accepted
140,140,HIGH,CLOSED,119,2025-06-04 16:52:00,2025-06-26 16:52:00,Risk accepted
141,141,HIGH,IN_PROGRESS,161,2023-02-25 06:33:00,,Risk accepted
142,142,LOW,IN_PROGRESS,74,2025-02-17 01:13:00,,Risk accepted
143,143,MEDIUM,OPEN,62,2024-12-16 15:07:00,,Additional KYC completed
144,144,MEDIUM,OPEN,58,2023-06-12 09:35:00,,False positive
145,145,CRITICAL,CLOSED,75,2024-04-17 03:41:00,2024-05-03 03:41:00,Account temporarily blocked
146,146,LOW,CLOSED,142,2024-12-23 08:26:00,2025-01-08 08:26:00,Customer documents verified
147,147,HIGH,RESOLVED,18,2024-01-28 06:58:00,2024-02-21 06:58:00,Escalated to compliance team
148,148,LOW,CLOSED,1,2025-03-02 13:21:00,2025-03-19 13:21:00,Escalated to compliance team
149,149,MEDIUM,RESOLVED,39,2025-01-13 09:53:00,2025-02-04 09:53:00,Risk accepted
150,150,HIGH,IN_PROGRESS,97,2024-07-05 15:22:00,,Risk accepted
151,151,LOW,IN_PROGRESS,199,2023-11-26 06:44:00,,Risk accepted
152,152,HIGH,RESOLVED,99,2023-02-14 10:47:00,2023-03-16 10:47:00,Additional KYC completed
153,153,LOW,RESOLVED,152,2025-03-22 20:09:00,2025-03-24 20:09:00,Escalated to compliance team
154,154,MEDIUM,CLOSED,117,2025-06-09 03:55:00,2025-06-13 03:55:00,False positive
155,155,LOW,CLOSED,68,2025-01-09 04:26:00,2025-01-14 04:26:00,Escalated to compliance team
156,156,LOW,RESOLVED,173,2024-09-30 22:25:00,2024-10-28 22:25:00,Account temporarily blocked
157,157,MEDIUM,RESOLVED,139,2024-01-25 10:40:00,2024-02-19 10:40:00,False positive
158,158,LOW,RESOLVED,59,2024-09-24 02:15:00,2024-10-24 02:15:00,Additional KYC completed
159,159,HIGH,RESOLVED,114,2023-04-03 13:06:00,2023-04-26 13:06:00,Customer documents verified
160,160,LOW,OPEN,15,2024-12-11 09:57:00,,Escalated to compliance team
161,161,MEDIUM,OPEN,145,2024-01-03 11:27:00,,Additional KYC completed
162,162,MEDIUM,OPEN,98,2025-03-22 05:10:00,,Account temporarily blocked
163,163,LOW,CLOSED,164,2024-11-30 07:31:00,2024-12-05 07:31:00,Escalated to compliance team
164,164,HIGH,OPEN,74,2024-04-15 08:42:00,,Additional KYC completed
165,165,CRITICAL,RESOLVED,77,2024-07-13 05:04:00,2024-07-25 05:04:00,Additional KYC completed
166,166,LOW,RESOLVED,99,2024-03-10 22:16:00,2024-03-20 22:16:00,Risk accepted
167,167,LOW,RESOLVED,180,2023-04-20 07:24:00,2023-05-09 07:24:00,Escalated to compliance team
168,168,MEDIUM,IN_PROGRESS,176,2023-01-23 21:25:00,,Additional KYC completed
169,169,CRITICAL,RESOLVED,199,2023-02-20 19:47:00,2023-03-21 19:47:00,Customer documents verified
170,170,LOW,RESOLVED,194,2024-09-13 11:14:00,2024-10-03 11:14:00,Additional KYC completed
171,171,LOW,CLOSED,161,2025-02-24 21:43:00,2025-03-17 21:43:00,Additional KYC completed
172,172,LOW,RESOLVED,34,2023-02-10 09:50:00,2023-03-01 09:50:00,False positive
173,173,LOW,RESOLVED,139,2023-10-30 10:47:00,2023-11-06 10:47:00,Escalated to compliance team
174,174,LOW,IN_PROGRESS,124,2024-06-27 16:58:00,,Escalated to compliance team
175,175,CRITICAL,OPEN,37,2025-02-03 10:51:00,,Customer documents verified
176,176,CRITICAL,RESOLVED,143,2025-05-30 21:46:00,2025-06-12 21:46:00,Escalated to compliance team
177,177,LOW,IN_PROGRESS,95,2023-04-03 12:00:00,,Additional KYC completed
178,178,MEDIUM,RESOLVED,96,2025-02-05 21:16:00,2025-03-04 21:16:00,False positive
179,179,HIGH,OPEN,144,2024-11-22 07:30:00,,Escalated to compliance team
180,180,HIGH,OPEN,180,2024-09-16 07:41:00,,Escalated to compliance team
181,181,CRITICAL,OPEN,78,2024-10-26 13:07:00,,Risk accepted
182,182,LOW,CLOSED,95,2023-04-29 03:15:00,2023-05-04 03:15:00,Additional KYC completed
183,183,HIGH,RESOLVED,107,2025-01-30 22:34:00,2025-02-23 22:34:00,Additional KYC completed
184,184,LOW,RESOLVED,95,2023-04-12 15:39:00,2023-04-21 15:39:00,Customer documents verified
185,185,CRITICAL,CLOSED,95,2024-03-30 14:15:00,2024-04-03 14:15:00,Account temporarily blocked
186,186,LOW,IN_PROGRESS,32,2024-10-22 11:03:00,,Risk accepted
187,187,CRITICAL,RESOLVED,13,2023-04-04 21:13:00,2023-04-24 21:13:00,Escalated to compliance team
188,188,HIGH,RESOLVED,142,2023-09-07 04:50:00,2023-09-10 04:50:00,Customer documents verified
189,189,HIGH,CLOSED,153,2024-08-23 06:52:00,2024-09-03 06:52:00,False positive
190,190,LOW,RESOLVED,170,2023-10-11 04:08:00,2023-11-06 04:08:00,False positive
191,191,MEDIUM,RESOLVED,5,2023-05-15 00:22:00,2023-05-23 00:22:00,Customer documents verified
192,192,LOW,RESOLVED,17,2023-09-29 01:08:00,2023-10-16 01:08:00,Risk accepted
193,193,MEDIUM,RESOLVED,158,2024-04-04 11:32:00,2024-04-19 11:32:00,False positive
194,194,MEDIUM,IN_PROGRESS,8,2025-01-14 21:33:00,,False positive
195,195,HIGH,RESOLVED,114,2024-05-05 12:27:00,2024-05-21 12:27:00,False positive
196,196,LOW,OPEN,160,2023-03-24 10:38:00,,Additional KYC completed
197,197,CRITICAL,IN_PROGRESS,136,2024-08-22 17:45:00,,Escalated to compliance team
198,198,HIGH,RESOLVED,168,2024-04-09 16:38:00,2024-05-05 16:38:00,Additional KYC completed
199,199,MEDIUM,CLOSED,59,2025-06-17 17:46:00,2025-07-01 17:46:00,Risk accepted
200,200,LOW,RESOLVED,81,2023-12-14 14:25:00,2023-12-18 14:25:00,Additional KYC completed
201,201,LOW,RESOLVED,22,2023-09-19 11:09:00,2023-10-05 11:09:00,False positive
202,202,LOW,RESOLVED,16,2024-03-18 03:47:00,2024-04-13 03:47:00,Account temporarily blocked
203,203,LOW,RESOLVED,171,2024-07-29 17:21:00,2024-08-12 17:21:00,Risk accepted
204,204,LOW,CLOSED,27,2025-06-07 23:03:00,2025-06-27 23:03:00,Account temporarily blocked
205,205,HIGH,RESOLVED,90,2024-06-03 06:09:00,2024-06-11 06:09:00,Account temporarily blocked
206,206,LOW,IN_PROGRESS,110,2024-01-12 03:48:00,,Account temporarily blocked
207,207,LOW,RESOLVED,169,2025-02-24 19:39:00,2025-03-14 19:39:00,Additional KYC completed
208,208,HIGH,IN_PROGRESS,87,2023-10-01 00:11:00,,Escalated to compliance team
209,209,MEDIUM,OPEN,18,2023-01-07 05:55:00,,Customer documents verified
210,210,MEDIUM,OPEN,97,2025-01-28 20:01:00,,Risk accepted
211,211,HIGH,IN_PROGRESS,199,2024-04-09 10:10:00,,Account temporarily blocked
212,212,LOW,OPEN,159,2024-09-02 02:56:00,,False positive
213,213,MEDIUM,RESOLVED,114,2024-11-21 02:17:00,2024-12-05 02:17:00,Risk accepted
214,214,MEDIUM,RESOLVED,73,2023-10-07 06:48:00,2023-10-19 06:48:00,Additional KYC completed
215,215,LOW,RESOLVED,102,2024-11-25 18:31:00,2024-12-05 18:31:00,Account temporarily blocked
216,216,LOW,IN_PROGRESS,36,2023-02-26 00:13:00,,Escalated to compliance team
217,217,HIGH,OPEN,45,2023-10-24 10:07:00,,Customer documents verified
218,218,MEDIUM,IN_PROGRESS,172,2024-01-25 17:45:00,,Escalated to compliance team
219,219,LOW,RESOLVED,20,2023-03-15 12:55:00,2023-03-29 12:55:00,Escalated to compliance team
220,220,MEDIUM,RESOLVED,30,2024-08-12 13:36:00,2024-09-02 13:36:00,Risk accepted
221,221,MEDIUM,CLOSED,177,2023-01-22 10:10:00,2023-02-11 10:10:00,Escalated to compliance team
222,222,MEDIUM,OPEN,103,2023-04-01 13:54:00,,Account temporarily blocked
223,223,LOW,IN_PROGRESS,86,2023-03-22 12:55:00,,Customer documents verified
224,224,MEDIUM,OPEN,199,2023-03-20 16:40:00,,Escalated to compliance team
225,225,LOW,RESOLVED,38,2023-12-26 23:52:00,2023-12-31 23:52:00,Escalated to compliance team
226,226,HIGH,OPEN,20,2023-07-22 05:38:00,,Customer documents verified
227,227,HIGH,RESOLVED,115,2025-03-02 20:31:00,2025-03-21 20:31:00,Additional KYC completed
228,228,HIGH,CLOSED,161,2024-08-01 20:40:00,2024-08-12 20:40:00,Escalated to compliance team
229,229,LOW,RESOLVED,71,2023-06-04 14:04:00,2023-06-25 14:04:00,Account temporarily blocked
230,230,MEDIUM,OPEN,10,2023-02-27 11:32:00,,False positive
231,231,LOW,RESOLVED,153,2024-01-13 09:04:00,2024-02-10 09:04:00,Account temporarily blocked
232,232,HIGH,RESOLVED,11,2024-01-29 14:37:00,2024-02-24 14:37:00,Risk accepted
233,233,MEDIUM,OPEN,129,2025-04-09 18:41:00,,Customer documents verified
234,234,LOW,CLOSED,183,2023-03-05 14:06:00,2023-04-01 14:06:00,False positive
235,235,HIGH,OPEN,113,2024-05-31 20:11:00,,Account temporarily blocked
236,236,CRITICAL,IN_PROGRESS,100,2024-06-19 19:10:00,,Risk accepted
237,237,MEDIUM,RESOLVED,86,2025-03-04 10:43:00,2025-03-30 10:43:00,False positive
238,238,LOW,RESOLVED,169,2023-12-04 03:35:00,2023-12-14 03:35:00,Account temporarily blocked
239,239,MEDIUM,OPEN,90,2025-06-13 04:21:00,,Escalated to compliance team
240,240,MEDIUM,IN_PROGRESS,22,2024-11-02 22:42:00,,Escalated to compliance team
241,241,LOW,RESOLVED,180,2024-07-26 12:41:00,2024-08-22 12:41:00,Additional KYC completed
242,242,MEDIUM,RESOLVED,5,2024-12-02 16:05:00,2024-12-16 16:05:00,Escalated to compliance team
243,243,HIGH,IN_PROGRESS,50,2023-11-13 05:13:00,,Customer documents verified
244,244,HIGH,IN_PROGRESS,130,2023-05-21 04:04:00,,Account temporarily blocked
245,245,LOW,RESOLVED,197,2025-05-05 23:56:00,2025-05-27 23:56:00,Account temporarily blocked
246,246,LOW,OPEN,178,2023-05-15 19:24:00,,Account temporarily blocked
247,247,LOW,RESOLVED,185,2025-04-08 05:46:00,2025-04-22 05:46:00,Customer documents verified
248,248,MEDIUM,RESOLVED,137,2024-03-30 19:18:00,2024-04-25 19:18:00,Customer documents verified
249,249,MEDIUM,CLOSED,147,2023-11-13 15:57:00,2023-11-25 15:57:00,Risk accepted
250,250,MEDIUM,IN_PROGRESS,42,2024-04-17 09:49:00,,Customer documents verified
251,251,MEDIUM,CLOSED,96,2025-03-31 19:08:00,2025-04-02 19:08:00,Account temporarily blocked
252,252,LOW,RESOLVED,196,2023-04-16 22:54:00,2023-04-20 22:54:00,Customer documents verified
253,253,MEDIUM,RESOLVED,57,2023-10-07 14:57:00,2023-11-03 14:57:00,Risk accepted
254,254,MEDIUM,OPEN,61,2023-12-24 00:26:00,,Risk accepted
255,255,CRITICAL,OPEN,183,2023-03-25 11:14:00,,Additional KYC completed
256,256,CRITICAL,OPEN,121,2023-12-10 04:08:00,,Additional KYC completed
257,257,MEDIUM,RESOLVED,21,2025-05-01 04:48:00,2025-05-16 04:48:00,False positive
258,258,CRITICAL,OPEN,156,2023-09-20 06:53:00,,Account temporarily blocked
259,259,LOW,IN_PROGRESS,13,2024-03-09 03:49:00,,Customer documents verified
260,260,LOW,RESOLVED,128,2024-03-05 20:50:00,2024-03-08 20:50:00,Account temporarily blocked
261,261,HIGH,RESOLVED,75,2024-07-02 00:40:00,2024-07-10 00:40:00,Risk accepted
262,262,MEDIUM,IN_PROGRESS,171,2023-01-02 19:22:00,,Additional KYC completed
263,263,MEDIUM,OPEN,130,2023-03-29 16:23:00,,Account temporarily blocked
264,264,MEDIUM,CLOSED,96,2024-07-21 00:24:00,2024-07-23 00:24:00,Escalated to compliance team
265,265,LOW,RESOLVED,169,2025-02-04 00:22:00,2025-02-16 00:22:00,Additional KYC completed
266,266,LOW,RESOLVED,140,2023-04-17 18:47:00,2023-04-22 18:47:00,Escalated to compliance team
267,267,MEDIUM,CLOSED,179,2025-04-13 20:11:00,2025-05-05 20:11:00,Risk accepted
268,268,HIGH,OPEN,118,2024-10-08 05:51:00,,False positive
269,269,LOW,RESOLVED,80,2023-10-28 06:02:00,2023-11-26 06:02:00,Account temporarily blocked
270,270,HIGH,IN_PROGRESS,49,2024-02-12 17:30:00,,Escalated to compliance team
271,271,LOW,RESOLVED,95,2024-01-01 01:55:00,2024-01-10 01:55:00,Risk accepted
272,272,LOW,CLOSED,48,2024-02-14 23:28:00,2024-02-27 23:28:00,Risk accepted
273,273,LOW,CLOSED,22,2024-12-09 15:23:00,2024-12-26 15:23:00,Additional KYC completed
274,274,LOW,RESOLVED,76,2024-03-10 02:27:00,2024-04-06 02:27:00,Escalated to compliance team
275,275,MEDIUM,RESOLVED,184,2023-04-16 02:20:00,2023-04-26 02:20:00,Risk accepted
276,276,LOW,IN_PROGRESS,91,2023-06-20 22:28:00,,Account temporarily blocked
277,277,LOW,CLOSED,164,2024-03-21 08:40:00,2024-03-23 08:40:00,Risk accepted
278,278,CRITICAL,RESOLVED,37,2024-01-08 16:51:00,2024-01-14 16:51:00,Account temporarily blocked
279,279,LOW,OPEN,166,2024-11-25 14:02:00,,Escalated to compliance team
280,280,LOW,OPEN,116,2024-01-06 12:36:00,,Escalated to compliance team
281,281,LOW,OPEN,94,2024-01-16 14:48:00,,Risk accepted
282,282,LOW,IN_PROGRESS,189,2023-11-18 20:17:00,,Customer documents verified
283,283,LOW,CLOSED,67,2024-05-26 16:24:00,2024-05-30 16:24:00,Additional KYC completed
284,284,CRITICAL,IN_PROGRESS,126,2024-04-01 06:39:00,,Customer documents verified
285,285,LOW,OPEN,183,2023-05-06 04:54:00,,Risk accepted
286,286,LOW,CLOSED,17,2023-03-31 21:54:00,2023-04-22 21:54:00,Account temporarily blocked
287,287,LOW,IN_PROGRESS,182,2024-07-09 09:57:00,,Additional KYC completed
288,288,LOW,IN_PROGRESS,52,2024-10-15 05:50:00,,Customer documents verified
289,289,MEDIUM,IN_PROGRESS,120,2023-08-31 15:01:00,,Account temporarily blocked
290,290,LOW,OPEN,184,2023-05-13 19:56:00,,Additional KYC completed
291,291,MEDIUM,RESOLVED,33,2024-05-05 16:26:00,2024-06-01 16:26:00,Escalated to compliance team
