log_id,actor_id,actor_role,action,table_name,record_id,ip_address,session_id,log_time
18,17,FUND_MANAGER,LOGIN,transactions,9642,192.168.112.2,SID174441,2024-04-07 03:15:14
19,18,SUPER_ADMIN,KYC_APPROVED,funds,8424,192.168.121.72,SID801474,2024-12-25 20:03:14
20,186,ANALYST,UPDATE_INVESTMENT,notifications,6670,192.168.97.25,SID201639,2024-05-12 06:34:08
21,106,ANALYST,LOGIN,funds,994,192.168.206.187,SID455784,2024-11-05 13:22:27
22,49,ANALYST,CREATE_INVESTMENT,compliance_alerts,3007,192.168.142.119,SID361941,2025-03-30 03:15:12
23,141,SUPER_ADMIN,LOGIN,users,1529,192.168.121.43,SID526156,2025-06-14 02:28:51
24,103,SUPER_ADMIN,CREATE_INVESTMENT,compliance_alerts,36,192.168.199.68,SID922157,2024-05-12 15:13:55
25,179,ANALYST,CREATE_INVESTMENT,transactions,4862,192.168.111.248,SID161324,2025-03-14 14:18:27
26,192,FUND_MANAGER,LOGIN,users,9572,192.168.244.129,SID994141,2024-08-16 23:34:03
27,21,COMPLIANCE_OFFICER,LOGOUT,funds,3854,192.168.206.31,SID697347,2024-06-27 05:03:32
28,159,SUPER_ADMIN,KYC_REJECTED,compliance_checks,4273,192.168.104.172,SID850981,2023-09-10 18:38:02
29,34,FUND_MANAGER,TRANSACTION_CREATED,compliance_checks,1189,192.168.4.118,SID751332,2023-11-18 07:16:25
30,55,FUND_MANAGER,CREATE_INVESTMENT,compliance_checks,1128,192.168.125.95,SID398830,2024-07-30 03:04:34
31,181,FUND_MANAGER,PROFILE_UPDATED,users,9087,192.168.153.239,SID795613,2023-06-11 14:53:34
32,28,COMPLIANCE_OFFICER,DELETE_INVESTMENT,sip_schedules,9910,192.168.107.184,SID459536,2023-04-17 04:16:07
33,68,ANALYST,DELETE_INVESTMENT,users,1513,192.168.216.213,SID390120,2023-07-28 21:40:54
34,34,FUND_MANAGER,CREATE_INVESTMENT,notifications,9039,192.168.218.144,SID110139,2023-02-15 00:21:49
35,39,SUPER_ADMIN,KYC_APPROVED,investments,7042,192.168.65.11,SID423232,2023-04-25 02:56:44
36,54,COMPLIANCE_OFFICER,LOGOUT,compliance_checks,9174,192.168.208.250,SID750810,2024-01-09 01:57:22
37,61,COMPLIANCE_OFFICER,CREATE_INVESTMENT,compliance_alerts,407,192.168.91.189,SID448321,2025-02-06 04:59:59
38,189,COMPLIANCE_OFFICER,DELETE_INVESTMENT,investments,1772,192.168.195.224,SID140605,2025-03-12 13:51:42
39,118,FUND_MANAGER,DELETE_INVESTMENT,transactions,3653,192.168.12.169,SID302511,2025-05-29 15:14:12
40,18,FUND_MANAGER,KYC_APPROVED,compliance_alerts,8786,192.168.169.241,SID128941,2024-02-13 10:17:55
41,68,SUPER_ADMIN,LOGOUT,compliance_alerts,5664,192.168.160.112,SID735656,2023-04-29 08:11:37
42,148,COMPLIANCE_OFFICER,DELETE_INVESTMENT,users,7145,192.168.0.134,SID945687,2024-06-07 03:24:57
43,189,COMPLIANCE_OFFICER,KYC_APPROVED,compliance_alerts,1147,192.168.169.160,SID429164,2024-07-05 21:46:47
44,77,FUND_MANAGER,KYC_REJECTED,compliance_checks,6593,192.168.151.142,SID233470,2024-11-10 03:46:57
45,174,COMPLIANCE_OFFICER,PROFILE_UPDATED,sip_schedules,6654,192.168.0.78,SID400850,2023-07-16 13:42:24
46,156,FUND_MANAGER,TRANSACTION_CREATED,notifications,7245,192.168.109.131,SID596171,2023-08-04 13:50:37
47,22,FUND_MANAGER,PASSWORD_CHANGED,compliance_checks,1531,192.168.120.173,SID425498,2025-03-23 23:10:42
48,12,COMPLIANCE_OFFICER,TRANSACTION_CREATED,funds,7462,192.168.212.227,SID760356,2023-08-19 06:09:01
49,99,ANALYST,KYC_REJECTED,transactions,2418,192.168.2.229,SID887443,2024-08-12 06:45:44
50,57,COMPLIANCE_OFFICER,PASSWORD_CHANGED,notifications,823,192.168.127.235,SID989545,2025-05-31 03:49:27
51,119,FUND_MANAGER,TRANSACTION_CREATED,compliance_alerts,8977,192.168.228.230,SID266889,2023-05-05 14:08:51
52,193,COMPLIANCE_OFFICER,DELETE_INVESTMENT,notifications,3920,192.168.140.113,SID181247,2025-01-31 15:28:16
53,86,FUND_MANAGER,PASSWORD_CHANGED,funds,2268,192.168.77.60,SID501641,2024-12-31 09:15:17
54,17,ANALYST,KYC_REJECTED,compliance_checks,8891,192.168.238.107,SID165290,2024-12-11 04:45:13
55,198,SUPER_ADMIN,PROFILE_UPDATED,compliance_alerts,7815,192.168.3.242,SID468845,2023-07-31 13:24:57
56,108,COMPLIANCE_OFFICER,TRANSACTION_CREATED,transactions,4472,192.168.223.125,SID130434,2023-11-02 12:54:57
57,104,COMPLIANCE_OFFICER,TRANSACTION_CREATED,investments,8752,192.168.13.233,SID513160,2024-02-03 10:42:43
58,22,ANALYST,CREATE_INVESTMENT,notifications,2978,192.168.25.67,SID497519,2024-08-29 18:42:01
59,87,ANALYST,DELETE_INVESTMENT,compliance_alerts,4134,192.168.41.121,SID120324,2023-12-02 06:29:20
60,58,SUPER_ADMIN,LOGIN,users,4052,192.168.102.215,SID121369,2025-02-06 17:03:22
61,122,SUPER_ADMIN,PROFILE_UPDATED,transactions,7620,192.168.131.197,SID486814,2024-09-28 04:15:08
62,184,SUPER_ADMIN,CREATE_INVESTMENT,sip_schedules,1772,192.168.13.238,SID427110,2023-06-21 19:38:47
63,102,COMPLIANCE_OFFICER,LOGOUT,transactions,1670,192.168.154.218,SID817497,2024-08-12 21:58:24
64,11,FUND_MANAGER,PASSWORD_CHANGED,compliance_alerts,6072,192.168.35.130,SID778998,2024-09-06 03:50:36
65,126,SUPER_ADMIN,KYC_REJECTED,compliance_checks,7533,192.168.78.112,SID284692,2023-12-16 00:54:26
66,158,ANALYST,TRANSACTION_CREATED,compliance_alerts,9708,192.168.137.83,SID993085,2025-01-21 16:41:17
67,116,COMPLIANCE_OFFICER,TRANSACTION_CREATED,compliance_alerts,5512,192.168.14.127,SID992288,2023-09-09 02:17:56
68,91,FUND_MANAGER,KYC_APPROVED,sip_schedules,9768,192.168.141.143,SID110644,2023-11-29 05:31:13
69,185,ANALYST,TRANSACTION_CREATED,transactions,7801,192.168.251.115,SID931450,2024-06-13 06:05:15
70,104,COMPLIANCE_OFFICER,DELETE_INVESTMENT,compliance_checks,7754,192.168.176.109,SID882169,2023-01-18 02:18:14
71,117,FUND_MANAGER,DELETE_INVESTMENT,sip_schedules,3778,192.168.61.185,SID301939,2024-07-17 10:22:44
72,196,COMPLIANCE_OFFICER,UPDATE_INVESTMENT,transactions,7934,192.168.141.186,SID718226,2023-11-20 03:47:34
73,26,COMPLIANCE_OFFICER,DELETE_INVESTMENT,transactions,5913,192.168.91.78,SID114835,2025-02-17 16:38:18
74,12,SUPER_ADMIN,PASSWORD_CHANGED,sip_schedules,2069,192.168.251.27,SID112861,2024-12-26 17:08:17
75,113,FUND_MANAGER,CREATE_INVESTMENT,users,4137,192.168.244.30,SID962050,2024-08-10 09:30:30
76,148,SUPER_ADMIN,CREATE_INVESTMENT,investments,9222,192.168.155.22,SID360247,2023-03-08 12:31:04
77,156,COMPLIANCE_OFFICER,PASSWORD_CHANGED,compliance_alerts,7382,192.168.226.77,SID717113,2023-05-02 17:48:26
78,16,SUPER_ADMIN,UPDATE_INVESTMENT,transactions,4336,192.168.41.41,SID351516,2024-03-15 09:36:39
79,1,ANALYST,TRANSACTION_CREATED,notifications,4772,192.168.16.60,SID402099,2023-06-27 17:04:10
80,117,SUPER_ADMIN,UPDATE_INVESTMENT,sip_schedules,9664,192.168.101.109,SID220351,2024-12-24 09:44:55
81,69,COMPLIANCE_OFFICER,LOGOUT,users,2719,192.168.157.153,SID885339,2024-07-11 07:41:09
82,113,SUPER_ADMIN,TRANSACTION_CREATED,sip_schedules,6595,192.168.139.129,SID666211,2025-04-24 18:58:18
83,11,ANALYST,KYC_APPROVED,sip_schedules,424,192.168.46.59,SID807053,2024-05-20 14:05:38
84,196,FUND_MANAGER,PROFILE_UPDATED,users,2871,192.168.240.133,SID783157,2025-05-06 18:37:01
85,112,ANALYST,LOGOUT,notifications,5701,192.168.209.86,SID436653,2024-03-28 08:11:37
86,85,ANALYST,TRANSACTION_CREATED,sip_schedules,6562,192.168.18.117,SID192337,2024-11-17 03:54:10
87,198,ANALYST,PASSWORD_CHANGED,users,8890,192.168.236.106,SID156837,2023-11-19 08:20:07
88,194,ANALYST,TRANSACTION_CREATED,users,3336,192.168.136.141,SID237377,2023-07-12 16:23:39
89,125,SUPER_ADMIN,LOGIN,transactions,2595,192.168.159.142,SID114338,2023-10-22 14:56:44
90,30,ANALYST,LOGOUT,investments,8166,192.168.149.131,SID839677,2024-07-19 13:05:14
91,121,COMPLIANCE_OFFICER,TRANSACTION_CREATED,investments,6285,192.168.97.236,SID728492,2023-10-07 13:53:30
92,18,FUND_MANAGER,KYC_REJECTED,compliance_checks,8319,192.168.136.211,SID102689,2024-06-04 23:56:08
93,151,ANALYST,CREATE_INVESTMENT,notifications,8825,192.168.247.89,SID448588,2023-10-17 23:19:53
94,83,COMPLIANCE_OFFICER,UPDATE_INVESTMENT,compliance_alerts,3827,192.168.210.12,SID433632,2024-07-19 17:24:29
95,98,ANALYST,CREATE_INVESTMENT,notifications,607,192.168.64.129,SID718849,2025-02-01 15:45:58
96,113,SUPER_ADMIN,PASSWORD_CHANGED,notifications,252,192.168.73.105,SID786587,2023-12-06 03:55:54
97,68,FUND_MANAGER,PROFILE_UPDATED,compliance_alerts,1316,192.168.168.219,SID807115,2023-06-08 02:30:50
98,161,ANALYST,PASSWORD_CHANGED,users,1122,192.168.120.162,SID817644,2025-05-29 17:24:20
99,112,SUPER_ADMIN,LOGOUT,notifications,2726,192.168.153.232,SID130353,2023-10-22 07:47:05
100,76,FUND_MANAGER,KYC_APPROVED,compliance_alerts,2386,192.168.125.136,SID532067,2023-02-17 10:50:03
101,44,COMPLIANCE_OFFICER,LOGOUT,compliance_alerts,3946,192.168.254.234,SID711484,2024-08-02 21:50:11
102,66,ANALYST,DELETE_INVESTMENT,users,7623,192.168.147.174,SID673149,2023-05-27 07:29:40
103,151,FUND_MANAGER,KYC_REJECTED,sip_schedules,7485,192.168.154.51,SID503380,2023-06-11 02:28:22
104,98,FUND_MANAGER,PROFILE_UPDATED,sip_schedules,4838,192.168.11.251,SID970357,2025-05-23 15:06:15
105,145,SUPER_ADMIN,PROFILE_UPDATED,notifications,4690,192.168.117.156,SID940886,2024-11-05 12:17:00
106,159,FUND_MANAGER,CREATE_INVESTMENT,funds,646,192.168.158.202,SID562236,2023-12-27 07:40:12
107,34,SUPER_ADMIN,DELETE_INVESTMENT,compliance_checks,6808,192.168.89.52,SID238579,2023-02-04 18:23:46
108,136,FUND_MANAGER,CREATE_INVESTMENT,sip_schedules,7895,192.168.151.192,SID455168,2025-03-16 17:56:23
109,37,COMPLIANCE_OFFICER,KYC_REJECTED,compliance_checks,1480,192.168.202.4,SID377304,2025-04-03 03:29:04
110,173,FUND_MANAGER,PROFILE_UPDATED,compliance_alerts,6087,192.168.55.173,SID345180,2024-07-03 03:29:23
111,144,FUND_MANAGER,PROFILE_UPDATED,transactions,1036,192.168.237.233,SID835132,2024-04-27 00:39:56
112,36,SUPER_ADMIN,LOGIN,sip_schedules,8072,192.168.59.25,SID346205,2023-11-06 20:26:07
113,95,ANALYST,PROFILE_UPDATED,investments,6798,192.168.50.214,SID613117,2024-07-04 04:24:29
114,177,FUND_MANAGER,UPDATE_INVESTMENT,notifications,7286,192.168.120.219,SID480303,2024-09-22 13:17:02
115,166,FUND_MANAGER,LOGIN,compliance_alerts,4521,192.168.97.248,SID228093,2023-04-12 21:23:34
116,55,SUPER_ADMIN,LOGIN,compliance_checks,3991,192.168.64.202,SID692002,2025-05-18 14:05:42
117,142,COMPLIANCE_OFFICER,PROFILE_UPDATED,transactions,3818,192.168.168.199,SID254721,2023-07-30 02:53:48
118,38,COMPLIANCE_OFFICER,PASSWORD_CHANGED,sip_schedules,2859,192.168.56.170,SID127032,2025-03-18 19:00:17
119,61,FUND_MANAGER,LOGIN,investments,4348,192.168.26.33,SID877747,2023-05-15 00:22:50
120,17,ANALYST,TRANSACTION_CREATED,compliance_checks,8409,192.168.55.116,SID628313,2024-03-07 16:07:47
121,169,FUND_MANAGER,TRANSACTION_CREATED,users,997,192.168.245.217,SID521126,2023-08-15 19:02:46
122,183,ANALYST,LOGOUT,funds,5278,192.168.75.17,SID232321,2024-03-12 21:06:31
123,141,FUND_MANAGER,KYC_REJECTED,sip_schedules,7434,192.168.220.26,SID931621,2023-10-09 19:40:37
124,167,COMPLIANCE_OFFICER,KYC_REJECTED,notifications,3744,192.168.211.87,SID967611,2024-12-19 03:54:41
125,25,FUND_MANAGER,KYC_REJECTED,compliance_checks,4177,192.168.191.245,SID260053,2024-04-09 12:26:46
126,22,SUPER_ADMIN,KYC_REJECTED,funds,6106,192.168.66.143,SID162894,2024-12-04 15:04:05
127,172,SUPER_ADMIN,KYC_REJECTED,compliance_checks,6930,192.168.26.248,SID401601,2024-08-23 17:35:21
128,148,COMPLIANCE_OFFICER,CREATE_INVESTMENT,notifications,3675,192.168.55.90,SID986438,2024-09-06 09:22:06
129,72,COMPLIANCE_OFFICER,KYC_REJECTED,users,9978,192.168.136.8,SID289179,2024-07-23 11:07:48
130,87,FUND_MANAGER,LOGIN,investments,2348,192.168.205.18,SID248766,2023-10-07 22:48:19
131,192,COMPLIANCE_OFFICER,KYC_REJECTED,compliance_alerts,7433,192.168.174.41,SID488028,2025-01-28 20:01:05
132,146,SUPER_ADMIN,LOGIN,investments,2580,192.168.25.173,SID185544,2023-11-16 23:20:49
133,125,ANALYST,KYC_REJECTED,sip_schedules,3532,192.168.58.89,SID550797,2023-10-06 14:42:27
134,152,ANALYST,PASSWORD_CHANGED,sip_schedules,745,192.168.112.102,SID728437,2023-04-24 09:43:43
135,55,COMPLIANCE_OFFICER,DELETE_INVESTMENT,sip_schedules,5376,192.168.61.2,SID621546,2023-02-26 00:13:19
136,98,COMPLIANCE_OFFICER,PASSWORD_CHANGED,compliance_checks,1181,192.168.203.221,SID878086,2025-02-03 13:11:08
137,20,FUND_MANAGER,PROFILE_UPDATED,compliance_alerts,9395,192.168.207.182,SID771237,2023-02-13 13:01:29
138,6,FUND_MANAGER,CREATE_INVESTMENT,notifications,5929,192.168.45.112,SID985506,2024-03-03 09:07:25
139,103,SUPER_ADMIN,KYC_REJECTED,sip_schedules,5563,192.168.113.86,SID916964,2023-04-19 07:27:37
140,30,COMPLIANCE_OFFICER,KYC_APPROVED,compliance_checks,2420,192.168.120.27,SID253557,2023-06-22 02:32:40
141,40,SUPER_ADMIN,CREATE_INVESTMENT,notifications,7602,192.168.229.175,SID691912,2023-09-20 06:11:38
142,161,FUND_MANAGER,CREATE_INVESTMENT,notifications,1119,192.168.240.114,SID762055,2024-10-20 20:39:20
143,91,SUPER_ADMIN,DELETE_INVESTMENT,notifications,7405,192.168.19.15,SID486649,2023-11-07 08:37:03
144,24,ANALYST,TRANSACTION_CREATED,users,7369,192.168.96.83,SID734394,2025-05-01 09:04:41
145,116,SUPER_ADMIN,KYC_APPROVED,funds,8267,192.168.88.11,SID359778,2024-05-02 16:09:03
146,134,COMPLIANCE_OFFICER,KYC_APPROVED,compliance_checks,4635,192.168.198.105,SID912085,2024-12-25 14:28:33
147,162,FUND_MANAGER,LOGOUT,compliance_checks,1549,192.168.197.73,SID364236,2023-12-13 21:38:03
148,39,FUND_MANAGER,LOGOUT,investments,5732,192.168.158.248,SID787923,2025-01-11 21:58:38
149,153,SUPER_ADMIN,DELETE_INVESTMENT,compliance_alerts,5382,192.168.65.172,SID836971,2024-12-16 21:25:08
150,135,SUPER_ADMIN,KYC_REJECTED,compliance_checks,299,192.168.185.80,SID289019,2025-04-28 23:43:58
151,50,COMPLIANCE_OFFICER,CREATE_INVESTMENT,investments,1265,192.168.151.217,SID926403,2023-08-08 10:49:31
152,190,SUPER_ADMIN,KYC_APPROVED,investments,9786,192.168.192.40,SID270128,2023-04-14 16:49:34
153,43,ANALYST,LOGIN,compliance_alerts,5969,192.168.121.249,SID565776,2023-07-05 22:49:39
154,115,COMPLIANCE_OFFICER,PASSWORD_CHANGED,transactions,5071,192.168.240.232,SID975679,2024-09-17 09:48:47
155,113,ANALYST,DELETE_INVESTMENT,compliance_alerts,8240,192.168.214.248,SID269930,2023-07-18 11:43:36
156,36,FUND_MANAGER,LOGIN,notifications,6082,192.168.52.183,SID986982,2025-04-16 06:51:38
157,196,COMPLIANCE_OFFICER,DELETE_INVESTMENT,notifications,8411,192.168.75.213,SID558723,2024-06-12 03:18:05
158,90,SUPER_ADMIN,KYC_REJECTED,users,6496,192.168.191.61,SID504924,2023-04-04 07:52:28
159,82,SUPER_ADMIN,KYC_APPROVED,investments,2255,192.168.19.74,SID970068,2023-03-25 11:14:01
160,195,ANALYST,TRANSACTION_CREATED,users,1299,192.168.9.66,SID326130,2024-04-28 22:53:08
161,156,ANALYST,LOGOUT,sip_schedules,3894,192.168.154.32,SID150068,2025-05-05 04:35:46
162,160,ANALYST,LOGOUT,funds,8190,192.168.8.162,SID640410,2023-09-02 13:40:50
163,75,ANALYST,LOGIN,compliance_checks,3942,192.168.213.48,SID796643,2024-08-11 07:45:09
164,18,SUPER_ADMIN,KYC_REJECTED,notifications,714,192.168.198.252,SID491435,2024-11-15 02:33:23
165,18,FUND_MANAGER,UPDATE_INVESTMENT,funds,9534,192.168.170.35,SID146489,2023-09-17 23:01:22
166,165,COMPLIANCE_OFFICER,TRANSACTION_CREATED,notifications,2987,192.168.69.17,SID850827,2023-12-27 17:21:52
167,52,SUPER_ADMIN,UPDATE_INVESTMENT,users,5171,192.168.158.132,SID517568,2025-03-05 14:02:18
168,10,COMPLIANCE_OFFICER,DELETE_INVESTMENT,compliance_checks,784,192.168.169.70,SID230521,2025-04-14 17:30:16
169,103,ANALYST,KYC_REJECTED,compliance_checks,3061,192.168.254.178,SID621691,2025-03-29 11:27:56
170,22,ANALYST,LOGOUT,compliance_alerts,9871,192.168.92.140,SID408036,2024-01-12 16:17:51
171,170,FUND_MANAGER,DELETE_INVESTMENT,notifications,9874,192.168.218.43,SID823270,2023-11-25 03:05:20
172,187,FUND_MANAGER,PROFILE_UPDATED,compliance_alerts,4499,192.168.29.20,SID803787,2024-03-30 11:28:02
173,192,COMPLIANCE_OFFICER,LOGIN,investments,9955,192.168.224.9,SID232361,2024-10-14 12:23:32
174,94,FUND_MANAGER,KYC_REJECTED,users,9914,192.168.78.174,SID571778,2023-03-10 07:49:41
175,20,COMPLIANCE_OFFICER,PASSWORD_CHANGED,compliance_checks,6522,192.168.160.167,SID392227,2024-01-15 11:28:48
176,48,ANALYST,PASSWORD_CHANGED,compliance_alerts,9203,192.168.60.68,SID912609,2023-09-13 03:01:47
177,157,FUND_MANAGER,TRANSACTION_CREATED,transactions,2010,192.168.69.219,SID177649,2023-09-24 22:28:13
178,114,SUPER_ADMIN,KYC_APPROVED,compliance_checks,1064,192.168.148.229,SID414527,2024-04-07 05:57:45
179,180,COMPLIANCE_OFFICER,KYC_APPROVED,transactions,1989,192.168.102.203,SID245622,2025-05-21 05:45:45
180,142,FUND_MANAGER,TRANSACTION_CREATED,investments,1413,192.168.33.80,SID517500,2023-08-31 15:01:23
181,106,ANALYST,PROFILE_UPDATED,funds,2054,192.168.162.165,SID177767,2025-01-04 23:30:33
182,89,COMPLIANCE_OFFICER,PASSWORD_CHANGED,investments,2115,192.168.221.129,SID158104,2024-04-05 14:43:33
183,78,COMPLIANCE_OFFICER,CREATE_INVESTMENT,compliance_checks,3695,192.168.177.243,SID644103,2025-05-01 03:33:09
184,163,FUND_MANAGER,CREATE_INVESTMENT,sip_schedules,8741,192.168.47.129,SID772124,2023-10-18 02:16:12
185,44,FUND_MANAGER,PROFILE_UPDATED,users,465,192.168.41.12,SID772612,2023-06-22 18:37:09
186,54,ANALYST,PROFILE_UPDATED,users,8160,192.168.148.165,SID416768,2025-02-28 18:16:41
187,176,ANALYST,DELETE_INVESTMENT,notifications,1196,192.168.30.41,SID560959,2024-05-09 07:51:51
188,88,COMPLIANCE_OFFICER,KYC_APPROVED,compliance_checks,5659,192.168.204.34,SID897615,2024-03-01 15:29:13
189,82,COMPLIANCE_OFFICER,TRANSACTION_CREATED,funds,4383,192.168.230.64,SID247720,2024-01-15 16:35:06
190,158,ANALYST,UPDATE_INVESTMENT,investments,5365,192.168.160.49,SID900190,2023-04-10 01:18:24
191,128,FUND_MANAGER,TRANSACTION_CREATED,users,1476,192.168.201.130,SID579441,2023-06-13 15:32:29
192,13,SUPER_ADMIN,DELETE_INVESTMENT,notifications,9790,192.168.240.74,SID662761,2023-09-04 06:37:22
193,68,FUND_MANAGER,KYC_REJECTED,compliance_checks,742,192.168.205.14,SID697983,2023-01-09 03:27:08
194,74,SUPER_ADMIN,KYC_REJECTED,notifications,9009,192.168.143.212,SID753516,2024-07-29 06:23:35
195,25,ANALYST,KYC_APPROVED,compliance_checks,9140,192.168.187.194,SID251275,2024-11-27 19:07:08
196,129,SUPER_ADMIN,LOGIN,users,2246,192.168.170.206,SID596756,2023-07-23 19:32:25
197,132,COMPLIANCE_OFFICER,KYC_APPROVED,compliance_checks,2663,192.168.201.254,SID746447,2024-06-15 14:09:38
198,130,ANALYST,PROFILE_UPDATED,sip_schedules,7781,192.168.8.95,SID447329,2025-01-27 09:37:21
199,79,SUPER_ADMIN,PROFILE_UPDATED,notifications,4351,192.168.116.185,SID153849,2024-11-20 03:26:37
200,162,ANALYST,CREATE_INVESTMENT,transactions,518,192.168.56.49,SID119857,2024-08-20 15:10:33
201,106,COMPLIANCE_OFFICER,KYC_REJECTED,notifications,1021,192.168.70.133,SID317413,2024-03-27 10:26:09
202,135,ANALYST,KYC_APPROVED,investments,7532,192.168.175.140,SID471496,2024-07-28 10:42:30
203,178,FUND_MANAGER,PROFILE_UPDATED,notifications,3151,192.168.126.72,SID685196,2024-11-23 23:43:41
204,74,COMPLIANCE_OFFICER,TRANSACTION_CREATED,compliance_checks,7862,192.168.178.144,SID934042,2023-11-02 07:19:49
205,147,ANALYST,KYC_REJECTED,compliance_checks,2400,192.168.148.11,SID401602,2025-01-08 08:18:07
206,114,FUND_MANAGER,TRANSACTION_CREATED,transactions,3311,192.168.138.239,SID689318,2025-01-01 02:22:59
207,158,COMPLIANCE_OFFICER,UPDATE_INVESTMENT,users,8701,192.168.115.164,SID344146,2024-12-13 08:08:06
208,184,ANALYST,LOGOUT,investments,85,192.168.80.105,SID784607,2023-02-23 03:26:21
209,52,FUND_MANAGER,KYC_APPROVED,sip_schedules,970,192.168.45.167,SID702022,2025-06-18 15:30:41
210,10,COMPLIANCE_OFFICER,KYC_REJECTED,investments,596,192.168.203.202,SID619447,2023-08-26 17:47:46
211,75,SUPER_ADMIN,LOGIN,sip_schedules,9306,192.168.54.238,SID451317,2023-07-10 23:55:59
212,135,ANALYST,CREATE_INVESTMENT,notifications,4471,192.168.98.208,SID218118,2023-10-19 14:41:34
213,166,FUND_MANAGER,CREATE_INVESTMENT,users,5524,192.168.151.146,SID807160,2023-12-05 05:46:29
214,164,ANALYST,KYC_REJECTED,compliance_checks,1422,192.168.205.172,SID200018,2025-02-14 06:11:39
215,64,SUPER_ADMIN,DELETE_INVESTMENT,compliance_alerts,3859,192.168.228.193,SID379963,2023-07-09 04:30:20
216,147,SUPER_ADMIN,DELETE_INVESTMENT,compliance_checks,3872,192.168.31.171,SID223967,2023-12-04 09:37:46
217,176,FUND_MANAGER,LOGOUT,sip_schedules,6022,192.168.113.57,SID240057,2024-04-21 09:10:25
218,156,FUND_MANAGER,KYC_REJECTED,notifications,8807,192.168.111.196,SID359486,2024-05-04 04:29:47
219,21,ANALYST,PASSWORD_CHANGED,compliance_checks,1280,192.168.57.16,SID969032,2024-11-27 19:55:50
220,138,COMPLIANCE_OFFICER,CREATE_INVESTMENT,compliance_checks,8526,192.168.226.30,SID813341,2024-07-14 16:12:36
221,24,ANALYST,LOGIN,notifications,2162,192.168.212.117,SID691303,2023-07-30 22:37:31
222,79,SUPER_ADMIN,KYC_REJECTED,sip_schedules,50,192.168.111.149,SID176577,2023-03-01 17:29:43
223,17,SUPER_ADMIN,LOGOUT,notifications,520,192.168.146.105,SID288724,2023-02-16 13:22:44
224,187,ANALYST,KYC_APPROVED,compliance_alerts,7349,192.168.193.97,SID184148,2025-02-26 04:49:41
225,35,FUND_MANAGER,LOGOUT,investments,8803,192.168.201.136,SID233533,2024-11-30 21:55:34
226,194,SUPER_ADMIN,DELETE_INVESTMENT,notifications,8921,192.168.217.137,SID497700,2025-01-15 07:53:00
227,89,COMPLIANCE_OFFICER,DELETE_INVESTMENT,transactions,1849,192.168.16.208,SID792267,2025-04-23 07:15:29
228,5,COMPLIANCE_OFFICER,UPDATE_INVESTMENT,funds,1654,192.168.17.115,SID726822,2024-03-05 19:49:59
229,63,SUPER_ADMIN,KYC_REJECTED,notifications,3840,192.168.111.194,SID913761,2024-11-19 22:55:03
230,60,FUND_MANAGER,PROFILE_UPDATED,compliance_checks,3882,192.168.154.225,SID250219,2023-02-27 04:32:18
231,77,FUND_MANAGER,LOGIN,investments,7000,192.168.253.13,SID461145,2024-11-07 16:14:26
232,135,FUND_MANAGER,KYC_REJECTED,compliance_alerts,2445,192.168.153.97,SID292811,2024-10-20 21:24:50
233,58,FUND_MANAGER,CREATE_INVESTMENT,notifications,945,192.168.211.248,SID536740,2025-02-11 17:30:15
