notification_id,user_id,channel,title,message,read_status,sent_at
29,515,PUSH,SIP Installment Successful,Compliance review requires your attention.,True,2023-08-23 02:57:00
30,3511,SMS,NAV Update,Compliance review requires your attention.,False,2023-10-13 21:31:00
31,6670,SMS,SIP Installment Successful,Your SIP installment has been processed successfully.,False,2023-09-06 15:51:00
32,7652,EMAIL,NAV Update,Today's NAV has been updated.,True,2023-12-29 13:26:00
33,5560,EMAIL,KYC Update,Please complete your pending KYC verification.,True,2023-03-04 12:46:00
34,6913,SMS,Portfolio Update,A new transaction has been recorded.,True,2024-07-03 14:08:00
35,9017,EMAIL,SIP Installment Successful,Today's NAV has been updated.,True,2025-06-14 02:28:00
36,6659,IN_APP,Transaction Alert,Please complete your pending KYC verification.,False,2023-04-06 07:10:00
37,36,IN_APP,Portfolio Update,A new transaction has been recorded.,False,2023-03-02 05:24:00
38,9106,IN_APP,KYC Update,Please complete your pending KYC verification.,False,2024-03-09 22:46:00
39,8884,EMAIL,NAV Update,Your portfolio value has been updated.,True,2023-08-11 01:37:00
40,8239,SMS,SIP Installment Successful,Compliance review requires your attention.,True,2023-02-21 18:30:00
41,9750,EMAIL,NAV Update,Please complete your pending KYC verification.,False,2025-05-21 05:04:00
42,9486,EMAIL,Compliance Notification,Your SIP installment has been processed successfully.,False,2023-05-03 18:15:00
43,8566,PUSH,Portfolio Update,Please complete your pending KYC verification.,False,2024-11-04 18:36:00
44,2145,PUSH,Transaction Alert,Your portfolio value has been updated.,True,2023-09-02 08:25:00
45,9225,EMAIL,SIP Installment Successful,Compliance review requires your attention.,True,2023-01-10 14:39:00
46,5719,EMAIL,KYC Update,Your portfolio value has been updated.,False,2024-06-02 08:08:00
47,8901,PUSH,Compliance Notification,Today's NAV has been updated.,True,2023-06-11 14:53:00
48,1698,SMS,Portfolio Update,Your SIP installment has been processed successfully.,True,2024-11-14 17:19:00
49,4463,PUSH,Compliance Notification,Please complete your pending KYC verification.,False,2025-01-30 17:09:00
50,4326,IN_APP,Portfolio Update,Your SIP installment has been processed successfully.,True,2023-07-28 21:40:00
51,4534,EMAIL,SIP Installment Successful,Your portfolio value has been updated.,True,2024-10-11 13:53:00
52,7240,IN_APP,Compliance Notification,Your SIP installment has been processed successfully.,True,2024-10-14 08:10:00
53,2443,EMAIL,Portfolio Update,Compliance review requires your attention.,True,2023-03-19 22:57:00
54,5051,PUSH,SIP Installment Successful,Your portfolio value has been updated.,True,2024-03-16 04:02:00
55,1685,PUSH,Compliance Notification,A new transaction has been recorded.,True,2024-11-29 07:42:00
56,2901,IN_APP,SIP Installment Successful,Please complete your pending KYC verification.,False,2023-08-31 05:51:00
57,4066,PUSH,KYC Update,Today's NAV has been updated.,True,2025-03-12 13:51:00
58,7712,SMS,KYC Update,A new transaction has been recorded.,False,2024-01-27 01:54:00
59,388,SMS,Transaction Alert,Your portfolio value has been updated.,False,2023-11-09 07:14:00
60,4574,PUSH,NAV Update,Compliance review requires your attention.,False,2025-06-04 02:49:00
61,453,EMAIL,Portfolio Update,Please complete your pending KYC verification.,False,2024-11-26 17:21:00
62,7120,PUSH,NAV Update,Your portfolio value has been updated.,False,2023-02-09 03:38:00
63,6312,SMS,Portfolio Update,Your SIP installment has been processed successfully.,False,2024-09-12 16:07:00
64,8822,SMS,Portfolio Update,A new transaction has been recorded.,True,2023-01-02 16:59:00
65,5144,EMAIL,NAV Update,Your portfolio value has been updated.,False,2024-11-11 10:39:00
66,6593,PUSH,Compliance Notification,Please complete your pending KYC verification.,True,2024-11-13 13:20:00
67,2852,PUSH,Transaction Alert,Compliance review requires your attention.,True,2024-03-06 21:24:00
68,7044,PUSH,Transaction Alert,A new transaction has been recorded.,False,2023-11-08 09:13:00
69,7753,SMS,NAV Update,Your SIP installment has been processed successfully.,False,2024-11-22 06:32:00
70,5492,EMAIL,KYC Update,Today's NAV has been updated.,False,2024-06-11 21:40:00
71,401,EMAIL,KYC Update,A new transaction has been recorded.,True,2023-08-19 06:09:00
72,9432,SMS,NAV Update,Today's NAV has been updated.,False,2024-04-11 13:56:00
73,2418,EMAIL,SIP Installment Successful,A new transaction has been recorded.,True,2024-05-21 12:15:00
74,7612,EMAIL,Compliance Notification,Please complete your pending KYC verification.,True,2023-06-30 22:33:00
75,7613,PUSH,Transaction Alert,Compliance review requires your attention.,False,2024-04-12 04:51:00
76,2608,IN_APP,Transaction Alert,Your portfolio value has been updated.,True,2025-04-30 17:28:00
77,8541,IN_APP,NAV Update,Please complete your pending KYC verification.,False,2025-05-10 20:17:00
78,4682,SMS,Portfolio Update,Your portfolio value has been updated.,False,2024-03-26 02:45:00
79,2472,SMS,Transaction Alert,Today's NAV has been updated.,True,2024-07-07 02:08:00
80,6798,IN_APP,Portfolio Update,Compliance review requires your attention.,False,2024-12-24 06:04:00
81,6884,IN_APP,Compliance Notification,Today's NAV has been updated.,True,2024-03-01 01:13:00
82,7815,EMAIL,Portfolio Update,Your portfolio value has been updated.,False,2025-05-27 18:24:00
83,8948,SMS,Transaction Alert,Please complete your pending KYC verification.,False,2025-05-23 13:34:00
84,6372,PUSH,NAV Update,Today's NAV has been updated.,False,2024-03-22 15:01:00
85,7658,SMS,Compliance Notification,Compliance review requires your attention.,True,2025-01-11 05:53:00
86,445,EMAIL,NAV Update,A new transaction has been recorded.,True,2024-02-08 18:36:00
87,824,PUSH,Transaction Alert,Your portfolio value has been updated.,True,2025-06-06 14:11:00
88,6212,PUSH,Transaction Alert,Your portfolio value has been updated.,True,2024-04-10 10:21:00
89,8838,EMAIL,Portfolio Update,Please complete your pending KYC verification.,True,2024-04-26 00:47:00
90,509,SMS,KYC Update,Your SIP installment has been processed successfully.,True,2025-03-10 20:02:00
91,1875,SMS,Transaction Alert,Today's NAV has been updated.,False,2023-09-02 04:30:00
92,9927,EMAIL,KYC Update,Your portfolio value has been updated.,True,2025-02-24 11:10:00
93,5112,IN_APP,Transaction Alert,Today's NAV has been updated.,True,2024-08-15 00:59:00
94,3979,EMAIL,NAV Update,Your portfolio value has been updated.,True,2023-03-19 18:44:00
95,673,PUSH,Compliance Notification,A new transaction has been recorded.,False,2025-03-26 18:50:00
96,5591,EMAIL,Transaction Alert,A new transaction has been recorded.,True,2023-03-12 16:41:00
97,7533,SMS,Transaction Alert,Please complete your pending KYC verification.,False,2024-03-19 11:40:00
98,7922,IN_APP,Transaction Alert,Today's NAV has been updated.,False,2024-09-22 17:49:00
99,1420,PUSH,Transaction Alert,Please complete your pending KYC verification.,False,2023-11-27 07:53:00
100,6210,PUSH,SIP Installment Successful,A new transaction has been recorded.,False,2024-08-06 19:42:00
101,5814,PUSH,Portfolio Update,Your portfolio value has been updated.,False,2023-07-06 15:13:00
102,3131,EMAIL,KYC Update,Today's NAV has been updated.,False,2024-07-23 00:33:00
103,3938,IN_APP,NAV Update,Today's NAV has been updated.,False,2024-05-15 17:48:00
104,4821,SMS,Transaction Alert,Today's NAV has been updated.,True,2024-04-03 00:05:00
105,6047,IN_APP,Compliance Notification,Compliance review requires your attention.,False,2023-11-10 21:37:00
106,5420,PUSH,NAV Update,A new transaction has been recorded.,False,2024-03-11 23:35:00
107,1977,SMS,Portfolio Update,Your SIP installment has been processed successfully.,True,2023-11-10 08:14:00
108,7934,PUSH,NAV Update,Compliance review requires your attention.,False,2023-07-16 06:47:00
109,3728,PUSH,KYC Update,Your portfolio value has been updated.,True,2023-04-13 06:18:00
110,4495,EMAIL,SIP Installment Successful,Compliance review requires your attention.,False,2024-12-26 17:08:00
111,8043,EMAIL,SIP Installment Successful,Compliance review requires your attention.,False,2024-12-15 04:40:00
112,5583,SMS,SIP Installment Successful,Your portfolio value has been updated.,False,2024-04-25 15:28:00
113,8057,EMAIL,Compliance Notification,Today's NAV has been updated.,True,2023-04-27 02:25:00
114,9222,PUSH,SIP Installment Successful,Please complete your pending KYC verification.,True,2023-06-05 04:51:00
115,9767,SMS,Compliance Notification,A new transaction has been recorded.,False,2024-07-25 13:38:00
116,9643,IN_APP,Portfolio Update,Compliance review requires your attention.,True,2024-03-29 09:55:00
117,3405,SMS,Portfolio Update,Today's NAV has been updated.,True,2024-09-16 23:06:00
118,9044,EMAIL,KYC Update,Your SIP installment has been processed successfully.,False,2023-06-10 07:11:00
119,7700,PUSH,SIP Installment Successful,Please complete your pending KYC verification.,False,2024-04-06 22:38:00
120,7439,EMAIL,NAV Update,Please complete your pending KYC verification.,False,2024-12-24 09:44:00
121,3242,IN_APP,SIP Installment Successful,Compliance review requires your attention.,True,2025-03-17 20:37:00
122,4353,SMS,SIP Installment Successful,Your SIP installment has been processed successfully.,True,2024-10-25 04:58:00
123,9326,PUSH,Transaction Alert,Your SIP installment has been processed successfully.,False,2025-03-22 09:38:00
124,6595,PUSH,Compliance Notification,Compliance review requires your attention.,False,2024-12-06 09:44:00
125,654,IN_APP,NAV Update,Your portfolio value has been updated.,False,2024-03-24 02:38:00
126,9425,EMAIL,NAV Update,Your portfolio value has been updated.,True,2023-01-27 02:14:00
127,8503,IN_APP,Portfolio Update,Please complete your pending KYC verification.,False,2025-02-20 05:30:00
128,7701,PUSH,Transaction Alert,Your portfolio value has been updated.,False,2024-10-12 15:05:00
129,2635,PUSH,Transaction Alert,Today's NAV has been updated.,False,2024-11-17 03:54:00
130,9013,EMAIL,Transaction Alert,Your SIP installment has been processed successfully.,False,2023-10-23 21:25:00
131,6623,EMAIL,NAV Update,Compliance review requires your attention.,False,2023-09-16 10:07:00
132,8495,PUSH,Compliance Notification,A new transaction has been recorded.,False,2024-02-28 01:12:00
133,4376,SMS,Portfolio Update,A new transaction has been recorded.,False,2025-02-17 01:13:00
134,9976,SMS,NAV Update,Please complete your pending KYC verification.,False,2023-05-05 00:40:00
135,6685,EMAIL,KYC Update,Your SIP installment has been processed successfully.,False,2024-07-18 00:35:00
136,2523,IN_APP,NAV Update,Your portfolio value has been updated.,False,2023-05-01 20:53:00
137,3994,IN_APP,Compliance Notification,Please complete your pending KYC verification.,False,2024-03-01 15:30:00
138,2237,EMAIL,Portfolio Update,A new transaction has been recorded.,False,2023-07-15 19:32:00
139,43,PUSH,NAV Update,Your portfolio value has been updated.,False,2025-03-17 16:17:00
140,8825,IN_APP,Portfolio Update,Your portfolio value has been updated.,False,2025-06-05 04:28:00
141,3091,SMS,Compliance Notification,A new transaction has been recorded.,True,2024-04-11 10:55:00
142,5214,IN_APP,NAV Update,A new transaction has been recorded.,False,2025-05-26 13:02:00
143,8116,EMAIL,KYC Update,Compliance review requires your attention.,False,2024-11-10 20:09:00
144,7214,EMAIL,Compliance Notification,A new transaction has been recorded.,True,2025-06-09 03:55:00
145,2530,EMAIL,Transaction Alert,Your portfolio value has been updated.,False,2025-01-09 04:26:00
146,1316,PUSH,NAV Update,Compliance review requires your attention.,False,2024-09-30 22:25:00
147,7995,EMAIL,Compliance Notification,Your SIP installment has been processed successfully.,True,2023-11-21 20:45:00
148,4709,SMS,NAV Update,Your SIP installment has been processed successfully.,False,2024-10-08 21:58:00
149,1647,IN_APP,KYC Update,Today's NAV has been updated.,False,2023-04-11 20:45:00
150,920,PUSH,Portfolio Update,Your portfolio value has been updated.,False,2023-01-30 01:20:00
151,6752,SMS,KYC Update,Please complete your pending KYC verification.,True,2023-05-30 07:33:00
152,3946,IN_APP,Compliance Notification,Please complete your pending KYC verification.,True,2024-09-16 12:39:00
153,7530,PUSH,NAV Update,Your SIP installment has been processed successfully.,False,2024-04-17 20:16:00
154,2589,EMAIL,Transaction Alert,Your portfolio value has been updated.,False,2023-10-22 21:34:00
155,4098,IN_APP,Portfolio Update,Please complete your pending KYC verification.,False,2024-10-16 13:44:00
156,3887,IN_APP,Compliance Notification,Your portfolio value has been updated.,False,2025-05-23 15:06:00
157,6485,PUSH,SIP Installment Successful,Compliance review requires your attention.,True,2024-12-17 09:01:00
158,4690,SMS,Compliance Notification,Your portfolio value has been updated.,True,2024-09-12 23:31:00
159,4107,SMS,NAV Update,Your SIP installment has been processed successfully.,True,2024-10-13 06:39:00
160,9496,PUSH,NAV Update,Please complete your pending KYC verification.,True,2023-11-13 14:02:00
161,6808,SMS,KYC Update,Please complete your pending KYC verification.,False,2023-10-30 10:47:00
162,4466,SMS,Portfolio Update,A new transaction has been recorded.,False,2024-06-27 16:58:00
163,1887,IN_APP,SIP Installment Successful,Please complete your pending KYC verification.,True,2025-02-03 10:51:00
164,6512,PUSH,SIP Installment Successful,A new transaction has been recorded.,True,2025-05-30 21:46:00
165,7452,PUSH,NAV Update,Today's NAV has been updated.,False,2023-09-28 17:07:00
166,6087,EMAIL,NAV Update,Please complete your pending KYC verification.,False,2024-08-21 12:52:00
167,9199,PUSH,Compliance Notification,Please complete your pending KYC verification.,True,2023-01-26 19:56:00
168,4952,IN_APP,SIP Installment Successful,Please complete your pending KYC verification.,True,2024-10-12 14:58:00
169,1903,EMAIL,KYC Update,Compliance review requires your attention.,True,2023-02-08 09:31:00
170,8851,IN_APP,Compliance Notification,Today's NAV has been updated.,True,2024-02-02 14:23:00
171,8018,IN_APP,Portfolio Update,Your SIP installment has been processed successfully.,False,2024-02-29 20:06:00
172,3869,PUSH,SIP Installment Successful,Today's NAV has been updated.,False,2023-08-11 14:28:00
173,993,IN_APP,Portfolio Update,Please complete your pending KYC verification.,True,2024-07-11 20:22:00
174,3476,EMAIL,SIP Installment Successful,Your portfolio value has been updated.,True,2025-05-18 14:05:00
175,1125,SMS,Compliance Notification,Please complete your pending KYC verification.,True,2023-05-09 18:13:00
176,9765,EMAIL,Portfolio Update,Please complete your pending KYC verification.,True,2023-12-03 04:50:00
177,2859,EMAIL,NAV Update,Your SIP installment has been processed successfully.,True,2024-07-07 08:51:00
178,3899,PUSH,SIP Installment Successful,Please complete your pending KYC verification.,False,2023-01-16 11:50:00
179,6898,EMAIL,NAV Update,Your SIP installment has been processed successfully.,False,2023-02-23 04:47:00
180,9727,EMAIL,Transaction Alert,Compliance review requires your attention.,True,2024-04-04 11:32:00
181,8544,PUSH,Transaction Alert,Today's NAV has been updated.,True,2024-09-21 01:46:00
182,6581,IN_APP,NAV Update,Your SIP installment has been processed successfully.,False,2023-03-04 15:54:00
183,1324,PUSH,Compliance Notification,Please complete your pending KYC verification.,True,2024-12-30 14:04:00
184,9591,PUSH,Transaction Alert,Compliance review requires your attention.,False,2023-05-10 08:39:00
185,7049,EMAIL,NAV Update,Your SIP installment has been processed successfully.,True,2024-04-09 16:38:00
186,3744,IN_APP,Portfolio Update,A new transaction has been recorded.,False,2024-03-16 14:56:00
187,5121,IN_APP,Portfolio Update,Today's NAV has been updated.,False,2024-03-01 23:06:00
188,7771,EMAIL,SIP Installment Successful,Your SIP installment has been processed successfully.,True,2024-01-19 04:43:00
189,6106,SMS,Compliance Notification,Your SIP installment has been processed successfully.,False,2024-03-18 03:47:00
190,5794,IN_APP,NAV Update,Your SIP installment has been processed successfully.,False,2024-11-17 03:26:00
191,1698,SMS,KYC Update,Today's NAV has been updated.,False,2024-09-06 09:22:00
192,9114,PUSH,SIP Installment Successful,Your portfolio value has been updated.,True,2023-08-18 03:22:00
193,9191,EMAIL,Compliance Notification,Today's NAV has been updated.,False,2025-04-06 13:54:00
194,5063,PUSH,Portfolio Update,Your SIP installment has been processed successfully.,True,2023-01-30 05:17:00
195,6567,EMAIL,KYC Update,Today's NAV has been updated.,True,2025-06-09 04:36:00
196,3525,IN_APP,Transaction Alert,A new transaction has been recorded.,False,2023-04-04 23:33:00
197,5315,EMAIL,SIP Installment Successful,Please complete your pending KYC verification.,True,2023-06-11 11:19:00
198,1337,PUSH,Transaction Alert,Today's NAV has been updated.,False,2025-02-11 19:03:00
199,6786,PUSH,KYC Update,Compliance review requires your attention.,True,2024-05-12 19:28:00
200,4641,IN_APP,Compliance Notification,Today's NAV has been updated.,False,2023-12-20 13:07:00
201,9820,EMAIL,SIP Installment Successful,Please complete your pending KYC verification.,False,2023-02-16 07:25:00
202,4187,PUSH,Portfolio Update,Your SIP installment has been processed successfully.,True,2023-08-05 04:48:00
203,2879,SMS,Transaction Alert,Compliance review requires your attention.,True,2024-05-24 23:27:00
204,5803,EMAIL,Transaction Alert,Today's NAV has been updated.,True,2024-05-27 17:53:00
205,1276,PUSH,Compliance Notification,A new transaction has been recorded.,False,2024-03-22 00:29:00
206,4744,EMAIL,Transaction Alert,Your SIP installment has been processed successfully.,False,2024-12-27 20:26:00
207,5929,EMAIL,Transaction Alert,Your SIP installment has been processed successfully.,True,2023-06-25 19:29:00
208,8585,EMAIL,Transaction Alert,Your portfolio value has been updated.,False,2024-03-22 18:25:00
209,2755,EMAIL,Compliance Notification,Today's NAV has been updated.,True,2023-08-15 10:49:00
210,5725,PUSH,NAV Update,Today's NAV has been updated.,True,2024-06-27 16:12:00
211,4194,SMS,KYC Update,Compliance review requires your attention.,True,2023-08-30 03:09:00
212,2903,IN_APP,Transaction Alert,Compliance review requires your attention.,False,2025-02-17 20:04:00
213,5296,PUSH,KYC Update,A new transaction has been recorded.,True,2024-11-28 18:41:00
214,4962,PUSH,Compliance Notification,Your SIP installment has been processed successfully.,False,2024-04-25 14:40:00
215,7566,IN_APP,SIP Installment Successful,Your SIP installment has been processed successfully.,False,2024-06-03 02:19:00
216,1480,IN_APP,Transaction Alert,Compliance review requires your attention.,True,2025-05-01 09:04:00
217,3085,PUSH,Compliance Notification,A new transaction has been recorded.,True,2024-04-05 18:41:00
218,5627,EMAIL,Compliance Notification,Today's NAV has been updated.,True,2023-03-05 14:06:00
219,7173,IN_APP,Compliance Notification,Compliance review requires your attention.,True,2023-02-10 07:45:00
220,4635,IN_APP,Transaction Alert,Your portfolio value has been updated.,True,2024-01-08 11:58:00
221,5483,EMAIL,Portfolio Update,Your SIP installment has been processed successfully.,False,2025-03-19 20:41:00
222,9875,SMS,Portfolio Update,Your SIP installment has been processed successfully.,True,2023-10-18 08:46:00
223,6422,SMS,Compliance Notification,Today's NAV has been updated.,True,2023-12-25 09:41:00
224,5382,SMS,NAV Update,Today's NAV has been updated.,True,2023-11-14 17:24:00
225,8332,PUSH,SIP Installment Successful,Your portfolio value has been updated.,False,2024-10-23 21:27:00
226,7968,SMS,KYC Update,Please complete your pending KYC verification.,True,2023-07-04 06:21:00
227,1658,EMAIL,NAV Update,Your portfolio value has been updated.,True,2023-03-21 09:54:00
228,2659,SMS,NAV Update,Compliance review requires your attention.,True,2024-09-03 12:09:00
229,6732,PUSH,NAV Update,Today's NAV has been updated.,True,2025-01-08 14:02:00
230,7356,SMS,Compliance Notification,Please complete your pending KYC verification.,False,2024-03-30 19:18:00
231,3179,PUSH,NAV Update,Compliance review requires your attention.,False,2025-04-08 15:57:00
232,6257,IN_APP,KYC Update,Please complete your pending KYC verification.,True,2024-04-17 09:49:00
233,7874,PUSH,Compliance Notification,Your SIP installment has been processed successfully.,True,2025-06-12 08:03:00
234,2627,PUSH,Transaction Alert,Compliance review requires your attention.,True,2023-10-19 02:48:00
235,3638,IN_APP,Portfolio Update,Your SIP installment has been processed successfully.,False,2025-04-30 13:05:00
236,6127,SMS,Transaction Alert,Your SIP installment has been processed successfully.,False,2023-02-24 12:32:00
237,1624,PUSH,KYC Update,Please complete your pending KYC verification.,True,2023-08-18 00:20:00
238,2274,IN_APP,Transaction Alert,Compliance review requires your attention.,True,2023-10-21 15:44:00
239,3534,SMS,Compliance Notification,Today's NAV has been updated.,False,2023-03-23 00:16:00
240,4935,EMAIL,SIP Installment Successful,Please complete your pending KYC verification.,False,2023-04-24 09:15:00
241,1030,EMAIL,Transaction Alert,Compliance review requires your attention.,True,2024-10-16 19:29:00
242,3964,SMS,Portfolio Update,A new transaction has been recorded.,True,2024-10-09 16:36:00
243,9350,IN_APP,KYC Update,Today's NAV has been updated.,True,2024-09-21 11:15:00
244,8619,EMAIL,Transaction Alert,A new transaction has been recorded.,True,2024-06-20 11:04:00
245,4156,EMAIL,Portfolio Update,Your SIP installment has been processed successfully.,False,2024-10-12 12:23:00
246,1699,PUSH,KYC Update,Your SIP installment has been processed successfully.,False,2023-09-04 23:42:00
247,2869,IN_APP,NAV Update,A new transaction has been recorded.,True,2024-07-13 10:52:00
248,7499,EMAIL,Portfolio Update,Please complete your pending KYC verification.,True,2025-04-10 04:04:00
249,687,PUSH,Portfolio Update,Compliance review requires your attention.,False,2025-03-21 06:56:00
250,4151,EMAIL,NAV Update,Please complete your pending KYC verification.,False,2025-04-14 17:30:00
251,5439,PUSH,SIP Installment Successful,Your portfolio value has been updated.,False,2024-01-01 01:55:00
252,6335,PUSH,KYC Update,A new transaction has been recorded.,False,2024-02-14 23:28:00
253,1354,IN_APP,SIP Installment Successful,A new transaction has been recorded.,True,2024-01-12 16:17:00
254,1681,EMAIL,Portfolio Update,Today's NAV has been updated.,False,2024-07-12 09:20:00
255,6982,SMS,NAV Update,A new transaction has been recorded.,False,2023-11-10 14:38:00
256,5777,IN_APP,Portfolio Update,Today's NAV has been updated.,True,2024-04-02 01:46:00
257,6656,PUSH,Compliance Notification,Today's NAV has been updated.,True,2023-03-18 21:40:00
258,9955,IN_APP,SIP Installment Successful,Please complete your pending KYC verification.,True,2023-02-01 04:54:00
259,5934,IN_APP,Compliance Notification,Your SIP installment has been processed successfully.,True,2023-08-30 20:23:00
260,6096,IN_APP,SIP Installment Successful,Compliance review requires your attention.,True,2024-11-26 14:23:00
261,5151,PUSH,KYC Update,Your SIP installment has been processed successfully.,True,2024-06-26 11:25:00
262,8483,IN_APP,Compliance Notification,Your SIP installment has been processed successfully.,False,2025-01-23 05:31:00
263,7312,SMS,Compliance Notification,Your portfolio value has been updated.,False,2025-03-04 08:45:00
264,1214,IN_APP,KYC Update,Today's NAV has been updated.,False,2023-07-24 03:08:00
265,5237,PUSH,NAV Update,Your SIP installment has been processed successfully.,False,2023-03-31 21:54:00
266,2853,PUSH,Compliance Notification,Please complete your pending KYC verification.,True,2023-11-04 05:45:00
267,8095,EMAIL,Portfolio Update,Compliance review requires your attention.,False,2023-07-25 04:15:00
268,1413,EMAIL,Portfolio Update,A new transaction has been recorded.,False,2024-04-23 17:08:00
269,6709,EMAIL,KYC Update,Your portfolio value has been updated.,True,2024-06-22 13:49:00
270,8477,PUSH,KYC Update,Compliance review requires your attention.,True,2024-04-05 14:43:00
271,8239,EMAIL,SIP Installment Successful,Compliance review requires your attention.,True,2025-02-25 04:27:00
272,5287,SMS,Portfolio Update,Compliance review requires your attention.,False,2023-11-08 05:10:00
273,3217,PUSH,KYC Update,Today's NAV has been updated.,False,2025-05-16 02:16:00
274,8235,SMS,Compliance Notification,Compliance review requires your attention.,True,2024-09-21 17:05:00
275,9915,PUSH,Compliance Notification,Your SIP installment has been processed successfully.,True,2023-06-25 21:39:00
276,9450,PUSH,NAV Update,Please complete your pending KYC verification.,False,2023-03-25 01:41:00
277,8160,PUSH,NAV Update,Your portfolio value has been updated.,False,2024-09-24 20:01:00
278,4874,IN_APP,SIP Installment Successful,Today's NAV has been updated.,True,2023-09-08 21:25:00
279,7934,IN_APP,KYC Update,Your portfolio value has been updated.,True,2023-06-11 14:26:00
280,5659,IN_APP,KYC Update,Your portfolio value has been updated.,True,2023-11-17 22:20:00
281,2008,PUSH,Transaction Alert,Please complete your pending KYC verification.,True,2023-11-23 07:29:00
282,6294,IN_APP,KYC Update,Please complete your pending KYC verification.,False,2023-04-10 01:18:00
283,3111,SMS,Transaction Alert,Compliance review requires your attention.,False,2024-08-14 23:20:00
284,380,EMAIL,Transaction Alert,Compliance review requires your attention.,False,2024-05-25 09:31:00
285,5782,EMAIL,SIP Installment Successful,Your portfolio value has been updated.,False,2023-09-04 06:37:00
286,7711,PUSH,Compliance Notification,Your SIP installment has been processed successfully.,True,2024-09-03 20:43:00
287,4334,PUSH,Transaction Alert,Your portfolio value has been updated.,True,2024-03-17 04:56:00
288,9205,SMS,Portfolio Update,Compliance review requires your attention.,False,2024-02-15 01:36:00
289,7379,PUSH,Compliance Notification,Today's NAV has been updated.,True,2023-03-17 12:32:00
290,6115,PUSH,Compliance Notification,Your portfolio value has been updated.,True,2023-05-12 03:25:00
291,6577,EMAIL,SIP Installment Successful,Your SIP installment has been processed successfully.,True,2023-07-23 19:32:00
292,7762,IN_APP,KYC Update,Compliance review requires your attention.,True,2024-12-31 10:51:00
293,2663,IN_APP,Compliance Notification,Today's NAV has been updated.,False,2023-12-02 19:20:00
294,8352,IN_APP,NAV Update,Compliance review requires your attention.,False,2024-08-30 10:32:00
295,5428,EMAIL,Transaction Alert,Compliance review requires your attention.,False,2024-05-01 00:23:00
296,437,IN_APP,Portfolio Update,Today's NAV has been updated.,True,2025-03-26 23:55:00
297,7872,SMS,Compliance Notification,Today's NAV has been updated.,False,2025-01-08 01:37:00
298,518,EMAIL,KYC Update,Your SIP installment has been processed successfully.,False,2023-06-01 21:15:00
299,6766,SMS,Transaction Alert,Compliance review requires your attention.,False,2023-11-18 13:09:00
300,1021,SMS,Compliance Notification,Please complete your pending KYC verification.,False,2025-06-12 23:46:00
301,6174,PUSH,KYC Update,A new transaction has been recorded.,False,2024-11-09 15:33:00
302,4332,IN_APP,KYC Update,Please complete your pending KYC verification.,False,2024-07-13 11:43:00
