transaction_id,investment_id,user_id,fund_id,transaction_type,amount,units,nav,stamp_duty,exit_load,settlement_date,status,created_at
91,91,1680,51,SIP,1000,8.5638,116.77,0.05,0.0,2023-01-25,SUCCESS,2023-01-25 10:27:00
92,92,7349,238,PURCHASE,25000,115.0801,217.24,1.25,0.0,2024-04-29,SUCCESS,2024-04-29 10:59:00
93,93,4901,243,SIP,10000,39.7409,251.63,0.5,0.0,2023-11-12,FAILED,2023-11-12 14:04:00
94,94,5458,156,SIP,500,3.6005,138.87,0.03,0.0,2024-10-21,FAILED,2024-10-21 09:52:00
95,95,3353,206,SIP,3000,55.5658,53.99,0.15,0.0,2025-05-23,SETTLED,2025-05-23 14:14:00
96,96,8756,194,REDEMPTION,25000,98.7635,253.13,1.25,250.0,2023-03-02,FAILED,2023-03-02 12:44:00
97,97,7797,143,SIP,3000,10.9457,274.08,0.15,0.0,2022-11-30,PENDING,2022-11-30 16:30:00
98,98,5421,122,PURCHASE,25000,102.3877,244.17,1.25,0.0,2023-07-07,SETTLED,2023-07-07 13:05:00
99,99,6450,222,SIP,1000,3.6646,272.88,0.05,0.0,2025-06-04,FAILED,2025-06-04 15:36:00
100,100,9238,157,SIP,2000,8.5277,234.53,0.1,0.0,2022-11-26,SETTLED,2022-11-26 17:28:00
101,101,9987,70,PURCHASE,3000,49.3908,60.74,0.15,0.0,2024-12-01,PENDING,2024-12-01 15:51:00
102,102,1359,150,SIP,1000,8.5624,116.79,0.05,0.0,2025-11-22,PENDING,2025-11-22 11:22:00
103,103,9633,33,SIP,3000,22.9656,130.63,0.15,0.0,2022-11-25,SETTLED,2022-11-25 13:39:00
104,104,3802,157,REDEMPTION,3000,45.8225,65.47,0.15,30.0,2025-05-01,SUCCESS,2025-05-01 13:59:00
105,105,3143,157,SIP,1500,26.8097,55.95,0.07,0.0,2023-11-14,PENDING,2023-11-14 14:02:00
106,106,1648,63,SIP,2000,58.4112,34.24,0.1,0.0,2024-08-03,SETTLED,2024-08-03 11:06:00
107,107,9114,135,SIP,2000,10.0105,199.79,0.1,0.0,2024-04-28,PENDING,2024-04-28 12:43:00
108,108,5028,44,SIP,1500,8.3916,178.75,0.07,0.0,2024-03-29,SUCCESS,2024-03-29 18:31:00
109,109,5095,111,SIP,1500,5.451,275.18,0.07,0.0,2022-10-22,PENDING,2022-10-22 12:19:00
110,110,7226,130,SIP,2000,35.6697,56.07,0.1,0.0,2022-12-12,PENDING,2022-12-12 16:57:00
111,111,1945,25,SIP,1500,7.0347,213.23,0.07,0.0,2024-10-18,SETTLED,2024-10-18 12:35:00
112,112,3797,203,PURCHASE,1000,4.1794,239.27,0.05,0.0,2023-05-31,FAILED,2023-05-31 13:15:00
113,113,2482,159,SIP,2000,159.109,12.57,0.1,0.0,2025-12-28,SUCCESS,2025-12-28 15:32:00
114,114,4957,125,SIP,25000,241.0103,103.73,1.25,0.0,2022-05-28,SETTLED,2022-05-28 17:19:00
115,115,1571,195,SIP,500,9.802,51.01,0.03,0.0,2023-11-16,PENDING,2023-11-16 16:51:00
116,116,7664,218,SIP,25000,167.6165,149.15,1.25,0.0,2023-12-20,FAILED,2023-12-20 10:14:00
117,117,5873,246,STP,3000,34.2661,87.55,0.15,30.0,2024-12-15,SUCCESS,2024-12-15 10:00:00
118,118,5682,96,REDEMPTION,25000,204.3318,122.35,1.25,250.0,2023-01-01,PENDING,2023-01-01 11:41:00
119,119,5446,53,PURCHASE,1500,6.0817,246.64,0.07,0.0,2025-10-14,PENDING,2025-10-14 15:23:00
120,120,6187,42,SIP,5000,19.809,252.41,0.25,0.0,2024-03-20,SETTLED,2024-03-20 09:45:00
121,121,3785,122,SIP,2000,36.4431,54.88,0.1,0.0,2025-05-11,FAILED,2025-05-11 16:51:00
122,122,5249,249,PURCHASE,25000,232.2125,107.66,1.25,0.0,2025-09-30,SUCCESS,2025-09-30 12:01:00
123,123,4252,35,REDEMPTION,1500,9.8335,152.54,0.07,15.0,2025-10-03,PENDING,2025-10-03 12:33:00
124,124,2053,45,PURCHASE,10000,59.2944,168.65,0.5,0.0,2022-04-26,SETTLED,2022-04-26 18:26:00
125,125,4255,250,PURCHASE,5000,20.8177,240.18,0.25,0.0,2022-06-03,PENDING,2022-06-03 16:41:00
126,126,4951,229,SIP,5000,85.1789,58.7,0.25,0.0,2024-05-04,FAILED,2024-05-04 16:34:00
127,127,7887,159,SIP,2000,37.743,52.99,0.1,0.0,2024-05-26,PENDING,2024-05-26 10:33:00
128,128,8100,11,STP,5000,17.0491,293.27,0.25,50.0,2022-09-26,PENDING,2022-09-26 12:01:00
129,129,1081,19,SIP,50000,334.9411,149.28,2.5,0.0,2025-07-07,SETTLED,2025-07-07 13:40:00
130,130,3142,84,REDEMPTION,2000,12.5196,159.75,0.1,20.0,2023-03-14,PENDING,2023-03-14 09:42:00
131,131,8467,226,SIP,3000,32.9308,91.1,0.15,0.0,2024-08-21,FAILED,2024-08-21 11:34:00
132,132,6408,83,SIP,1500,46.3965,32.33,0.07,0.0,2024-02-02,PENDING,2024-02-02 14:06:00
133,133,7177,219,SIP,500,4.2633,117.28,0.03,0.0,2025-03-02,SUCCESS,2025-03-02 18:25:00
134,134,5556,168,SIP,2000,8.0376,248.83,0.1,0.0,2023-09-13,SETTLED,2023-09-13 12:28:00
135,135,9639,161,SIP,5000,54.5316,91.69,0.25,0.0,2024-09-12,FAILED,2024-09-12 16:23:00
136,136,8346,150,SIP,25000,162.1797,154.15,1.25,0.0,2022-05-13,PENDING,2022-05-13 11:40:00
137,137,7126,190,SIP,5000,40.2966,124.08,0.25,0.0,2024-10-06,PENDING,2024-10-06 12:21:00
138,138,413,54,PURCHASE,1500,5.7028,263.03,0.07,0.0,2022-09-18,FAILED,2022-09-18 12:27:00
139,139,2242,236,SIP,10000,83.4934,119.77,0.5,0.0,2023-01-25,SUCCESS,2023-01-25 10:47:00
140,140,9709,248,PURCHASE,2000,6.9633,287.22,0.1,0.0,2025-09-30,PENDING,2025-09-30 12:03:00
141,141,8167,88,SIP,10000,79.8594,125.22,0.5,0.0,2022-05-13,FAILED,2022-05-13 15:44:00
142,142,2968,215,SIP,1500,14.298,104.91,0.07,0.0,2024-01-03,SUCCESS,2024-01-03 11:48:00
143,143,7167,164,SIP,25000,84.717,295.1,1.25,0.0,2022-08-13,SUCCESS,2022-08-13 16:01:00
144,144,935,103,SIP,1000,20.6697,48.38,0.05,0.0,2025-08-18,PENDING,2025-08-18 13:15:00
145,145,3109,193,SIP,500,24.3784,20.51,0.03,0.0,2024-11-04,PENDING,2024-11-04 16:21:00
146,146,9055,36,PURCHASE,25000,111.0371,225.15,1.25,0.0,2025-04-04,PENDING,2025-04-04 10:27:00
147,147,1785,119,SIP,5000,19.5519,255.73,0.25,0.0,2025-09-15,SUCCESS,2025-09-15 11:58:00
148,148,7391,150,SIP,50000,988.7285,50.57,2.5,0.0,2023-04-02,PENDING,2023-04-02 11:05:00
149,149,4355,197,PURCHASE,1000,12.4642,80.23,0.05,0.0,2022-01-09,FAILED,2022-01-09 14:58:00
150,150,5945,249,REDEMPTION,2000,12.5715,159.09,0.1,20.0,2023-10-01,SUCCESS,2023-10-01 10:44:00
151,151,4582,21,PURCHASE,50000,251.3321,198.94,2.5,0.0,2024-11-23,SETTLED,2024-11-23 12:23:00
152,152,5479,235,SIP,2000,11.6857,171.15,0.1,0.0,2024-09-21,SUCCESS,2024-09-21 10:50:00
153,153,904,215,SIP,25000,202.7246,123.32,1.25,0.0,2024-12-07,SUCCESS,2024-12-07 17:46:00
154,154,3337,247,SIP,1500,31.5856,47.49,0.07,0.0,2025-12-01,PENDING,2025-12-01 18:55:00
155,155,9489,165,PURCHASE,3000,106.1571,28.26,0.15,0.0,2024-07-04,SUCCESS,2024-07-04 10:17:00
156,156,8215,20,SIP,25000,231.0536,108.2,1.25,0.0,2022-09-16,SETTLED,2022-09-16 11:50:00
157,157,8800,237,SIP,3000,18.2216,164.64,0.15,0.0,2025-02-23,FAILED,2025-02-23 16:40:00
158,158,9425,241,SIP,2000,8.4897,235.58,0.1,0.0,2025-08-20,SETTLED,2025-08-20 14:04:00
159,159,1533,121,REDEMPTION,2000,14.3678,139.2,0.1,20.0,2023-04-26,SETTLED,2023-04-26 13:20:00
160,160,8789,195,STP,3000,14.708,203.97,0.15,30.0,2025-01-31,SUCCESS,2025-01-31 17:06:00
161,161,7197,175,SIP,25000,93.647,266.96,1.25,0.0,2022-10-12,SETTLED,2022-10-12 10:55:00
162,162,4492,36,REDEMPTION,1000,25.8065,38.75,0.05,10.0,2025-04-11,FAILED,2025-04-11 14:08:00
163,163,5176,238,PURCHASE,3000,91.1577,32.91,0.15,0.0,2025-03-07,SUCCESS,2025-03-07 17:25:00
164,164,6078,109,PURCHASE,500,5.8167,85.96,0.03,0.0,2023-04-03,FAILED,2023-04-03 16:42:00
165,165,8872,56,SIP,2000,27.3261,73.19,0.1,0.0,2025-10-22,PENDING,2025-10-22 17:55:00
166,166,4925,34,SIP,3000,89.6325,33.47,0.15,0.0,2024-01-01,PENDING,2024-01-01 15:46:00
167,167,7355,193,SIP,3000,19.2197,156.09,0.15,0.0,2022-01-16,PENDING,2022-01-16 16:27:00
168,168,2803,209,SIP,3000,12.8634,233.22,0.15,0.0,2022-04-25,PENDING,2022-04-25 16:14:00
169,169,2,219,SIP,3000,11.8008,254.22,0.15,0.0,2022-10-19,SETTLED,2022-10-19 18:04:00
170,170,3169,196,SIP,1500,91.352,16.42,0.07,0.0,2025-02-04,PENDING,2025-02-04 10:09:00
171,171,2918,247,PURCHASE,50000,181.1922,275.95,2.5,0.0,2024-11-27,SUCCESS,2024-11-27 09:56:00
172,172,1475,63,SIP,25000,122.5911,203.93,1.25,0.0,2024-12-14,FAILED,2024-12-14 11:44:00
173,173,6909,224,SIP,500,1.9603,255.06,0.03,0.0,2025-05-24,FAILED,2025-05-24 12:57:00
174,174,6287,154,PURCHASE,50000,282.2626,177.14,2.5,0.0,2025-01-02,PENDING,2025-01-02 11:12:00
175,175,4789,202,SIP,500,3.9463,126.7,0.03,0.0,2022-10-13,FAILED,2022-10-13 18:31:00
176,176,8801,118,PURCHASE,1500,6.1797,242.73,0.07,0.0,2023-04-08,SETTLED,2023-04-08 14:56:00
177,177,1240,228,SIP,500,7.2537,68.93,0.03,0.0,2024-10-20,SETTLED,2024-10-20 09:48:00
178,178,9791,210,PURCHASE,25000,176.4664,141.67,1.25,0.0,2023-02-28,SETTLED,2023-02-28 10:36:00
179,179,9039,155,SIP,1000,5.01,199.6,0.05,0.0,2023-02-09,SUCCESS,2023-02-09 12:33:00
180,180,8699,237,PURCHASE,1500,17.6929,84.78,0.07,0.0,2023-08-10,PENDING,2023-08-10 18:06:00
181,181,84,80,SIP,10000,49.2441,203.07,0.5,0.0,2022-01-30,FAILED,2022-01-30 15:26:00
182,182,9416,219,SIP,3000,10.4413,287.32,0.15,0.0,2024-10-09,SETTLED,2024-10-09 11:47:00
183,183,2967,242,SIP,10000,48.8114,204.87,0.5,0.0,2024-01-14,PENDING,2024-01-14 09:44:00
184,184,87,233,SIP,1500,8.0645,186.0,0.07,0.0,2022-07-26,PENDING,2022-07-26 13:42:00
185,185,5998,151,PURCHASE,1500,15.089,99.41,0.07,0.0,2022-12-12,SETTLED,2022-12-12 17:02:00
186,186,4936,74,SIP,500,2.5058,199.54,0.03,0.0,2025-01-11,SUCCESS,2025-01-11 14:46:00
187,187,1397,242,SIP,1000,5.9913,166.91,0.05,0.0,2022-03-30,SETTLED,2022-03-30 17:02:00
188,188,2087,73,SIP,5000,29.6736,168.5,0.25,0.0,2023-07-12,PENDING,2023-07-12 17:12:00
189,189,3523,240,SIP,10000,122.9861,81.31,0.5,0.0,2022-12-13,FAILED,2022-12-13 15:39:00
190,190,8183,14,SWP,3000,18.6718,160.67,0.15,30.0,2022-03-06,PENDING,2022-03-06 16:08:00
191,191,5991,178,SIP,5000,19.1696,260.83,0.25,0.0,2024-01-16,SUCCESS,2024-01-16 10:40:00
192,192,9595,46,STP,5000,59.6872,83.77,0.25,50.0,2024-11-15,FAILED,2024-11-15 12:30:00
193,193,4680,182,SIP,50000,188.7505,264.9,2.5,0.0,2023-04-06,FAILED,2023-04-06 16:48:00
194,194,5699,221,PURCHASE,5000,21.759,229.79,0.25,0.0,2024-09-27,SUCCESS,2024-09-27 18:39:00
195,195,1660,230,SIP,1500,9.1258,164.37,0.07,0.0,2023-08-20,SETTLED,2023-08-20 10:17:00
196,196,4704,31,SIP,25000,220.0511,113.61,1.25,0.0,2025-10-11,FAILED,2025-10-11 10:40:00
197,197,3519,92,SIP,1000,3.4523,289.66,0.05,0.0,2025-09-26,SETTLED,2025-09-26 09:45:00
198,198,7208,246,PURCHASE,50000,182.5484,273.9,2.5,0.0,2023-05-05,SUCCESS,2023-05-05 12:33:00
199,199,2621,46,SIP,500,1.6774,298.08,0.03,0.0,2025-01-25,PENDING,2025-01-25 10:15:00
200,200,5542,10,SIP,2000,13.4526,148.67,0.1,0.0,2024-02-20,FAILED,2024-02-20 11:20:00
201,201,781,36,SIP,2000,7.7181,259.13,0.1,0.0,2022-09-11,FAILED,2022-09-11 18:55:00
202,202,1063,198,PURCHASE,50000,1697.7929,29.45,2.5,0.0,2025-02-02,SUCCESS,2025-02-02 14:09:00
203,203,7195,210,SIP,25000,970.4969,25.76,1.25,0.0,2023-04-13,SUCCESS,2023-04-13 11:01:00
204,204,6379,197,REDEMPTION,2000,28.2925,70.69,0.1,20.0,2022-06-18,FAILED,2022-06-18 18:03:00
205,205,6567,120,PURCHASE,25000,166.2455,150.38,1.25,0.0,2022-07-08,PENDING,2022-07-08 15:31:00
206,206,3843,29,SIP,10000,89.5335,111.69,0.5,0.0,2023-02-20,SETTLED,2023-02-20 14:22:00
207,207,2185,91,SIP,500,2.1873,228.59,0.03,0.0,2024-02-21,SUCCESS,2024-02-21 16:33:00
208,208,4453,138,SIP,25000,101.4117,246.52,1.25,0.0,2022-06-05,FAILED,2022-06-05 09:11:00
209,209,6807,105,PURCHASE,10000,44.9883,222.28,0.5,0.0,2024-12-07,FAILED,2024-12-07 13:48:00
210,210,6089,235,REDEMPTION,25000,93.2662,268.05,1.25,250.0,2025-03-29,SETTLED,2025-03-29 14:42:00
211,211,6181,21,SIP,2000,29.0994,68.73,0.1,0.0,2022-06-05,PENDING,2022-06-05 17:21:00
212,212,9420,239,REDEMPTION,10000,45.4566,219.99,0.5,100.0,2024-09-05,PENDING,2024-09-05 16:59:00
213,213,5448,16,SIP,500,5.0383,99.24,0.03,0.0,2024-03-25,PENDING,2024-03-25 14:11:00
214,214,4586,163,STP,1000,4.4103,226.74,0.05,10.0,2022-11-08,SUCCESS,2022-11-08 14:56:00
215,215,5420,133,STP,10000,39.116,255.65,0.5,100.0,2024-10-07,FAILED,2024-10-07 12:34:00
216,216,1405,75,REDEMPTION,1500,6.5003,230.76,0.07,15.0,2024-02-08,FAILED,2024-02-08 18:52:00
217,217,798,25,SIP,25000,102.2955,244.39,1.25,0.0,2022-04-19,PENDING,2022-04-19 11:24:00
218,218,1064,233,REDEMPTION,10000,226.6032,44.13,0.5,100.0,2022-04-21,SUCCESS,2022-04-21 17:12:00
219,219,2836,88,PURCHASE,50000,562.8729,88.83,2.5,0.0,2024-02-04,FAILED,2024-02-04 18:21:00
220,220,6899,160,SIP,50000,1667.7785,29.98,2.5,0.0,2024-05-17,FAILED,2024-05-17 09:12:00
221,221,4148,108,SIP,5000,41.9041,119.32,0.25,0.0,2022-10-13,PENDING,2022-10-13 18:21:00
222,222,5067,49,SWP,10000,71.22,140.41,0.5,100.0,2023-06-06,FAILED,2023-06-06 13:55:00
223,223,6011,193,REDEMPTION,50000,624.3756,80.08,2.5,500.0,2024-02-06,SUCCESS,2024-02-06 11:51:00
224,224,7474,12,SIP,500,16.9205,29.55,0.03,0.0,2022-09-14,PENDING,2022-09-14 12:45:00
225,225,7452,42,SIP,2000,12.0934,165.38,0.1,0.0,2024-10-30,SUCCESS,2024-10-30 09:38:00
226,226,8467,206,SIP,1000,8.047,124.27,0.05,0.0,2025-04-27,PENDING,2025-04-27 18:12:00
227,227,8134,48,REDEMPTION,1000,6.7632,147.86,0.05,10.0,2024-01-28,PENDING,2024-01-28 10:42:00
228,228,9233,194,SIP,10000,85.9697,116.32,0.5,0.0,2025-06-07,SUCCESS,2025-06-07 09:44:00
229,229,290,164,REDEMPTION,3000,17.318,173.23,0.15,30.0,2025-10-04,SETTLED,2025-10-04 13:02:00
230,230,7819,177,SIP,50000,476.2358,104.99,2.5,0.0,2024-02-22,SUCCESS,2024-02-22 14:23:00
231,231,3941,116,SIP,5000,19.6271,254.75,0.25,0.0,2022-03-05,SETTLED,2022-03-05 09:11:00
232,232,7275,3,SIP,25000,128.9391,193.89,1.25,0.0,2022-12-04,SETTLED,2022-12-04 15:37:00
233,233,5998,182,PURCHASE,25000,151.7359,164.76,1.25,0.0,2024-01-13,FAILED,2024-01-13 14:45:00
