investment_id,user_id,fund_id,investment_type,sip_amount,lumpsum_amount,units,purchase_nav,current_nav,current_value,returns_percent,status,created_at
17,8318,234,SIP,5000.0,,2936.6851,85.13,100.74,295841.66,18.34,COMPLETED,2023-02-12 00:00:00
18,6127,196,SIP,10000.0,,2157.3111,231.77,313.14,675540.4,35.11,CLOSED,2023-10-26 00:00:00
19,320,29,STP,,,136.1309,221.5,287.73,39168.94,29.9,ACTIVE,2023-05-06 00:00:00
20,3947,225,SIP,500.0,,227.7256,35.13,38.35,8733.28,9.17,COMPLETED,2024-12-26 00:00:00
21,2104,169,SIP,3000.0,,2788.1041,53.8,60.07,167481.41,11.65,COMPLETED,2024-05-16 00:00:00
22,8836,194,LUMPSUM,,50000.0,273.9126,182.54,189.73,51969.44,3.94,PAUSED,2025-10-07 00:00:00
23,7178,231,SIP,500.0,,88.7251,73.26,61.42,5449.5,-16.16,COMPLETED,2025-04-19 00:00:00
24,9642,57,SIP,5000.0,,428.6327,163.31,153.08,65615.09,-6.26,ACTIVE,2023-11-08 00:00:00
25,8424,61,SIP,2000.0,,1469.013,65.35,57.47,84424.18,-12.06,CLOSED,2025-03-26 00:00:00
26,3982,201,SIP,2000.0,,1305.4393,59.75,51.27,66929.87,-14.19,CLOSED,2023-12-27 00:00:00
27,6736,120,LUMPSUM,,25000.0,144.3085,173.24,240.89,34762.47,39.05,ACTIVE,2022-07-21 00:00:00
28,6597,187,SIP,10000.0,,11307.7679,40.68,37.22,420875.12,-8.51,COMPLETED,2024-07-07 00:00:00
29,6913,47,SIP,1000.0,,213.1519,220.5,186.37,39725.12,-15.48,ACTIVE,2022-07-20 00:00:00
30,8857,215,SIP,500.0,,47.2712,232.7,304.65,14401.17,30.92,CLOSED,2024-04-12 00:00:00
31,7887,55,LUMPSUM,,25000.0,465.6361,53.69,43.02,20031.67,-19.87,PAUSED,2024-03-10 00:00:00
32,7455,74,SIP,5000.0,,1144.9462,248.92,282.14,323035.12,13.35,COMPLETED,2024-09-23 00:00:00
33,3112,76,SIP,500.0,,195.222,151.11,170.05,33197.5,12.53,ACTIVE,2023-10-05 00:00:00
34,822,150,SIP,10000.0,,3147.1282,139.81,116.62,367018.09,-16.59,COMPLETED,2022-06-14 00:00:00
35,1123,153,SIP,10000.0,,6830.7955,70.27,61.27,418522.84,-12.81,ACTIVE,2023-05-20 00:00:00
36,1344,108,SIP,3000.0,,544.0696,137.85,187.59,102062.02,36.08,PAUSED,2025-10-03 00:00:00
37,3911,68,SIP,5000.0,,1799.748,166.69,179.08,322298.87,7.43,ACTIVE,2022-05-29 00:00:00
38,7509,160,SWP,,,96.2301,249.08,210.21,20228.53,-15.61,PAUSED,2024-11-02 00:00:00
39,2171,239,SIP,500.0,,49.6323,221.63,226.44,11238.74,2.17,PAUSED,2024-06-16 00:00:00
40,8667,3,SIP,3000.0,,702.9877,85.35,102.25,71880.49,19.8,ACTIVE,2023-06-26 00:00:00
41,1754,191,SIP,1500.0,,609.5308,81.21,75.23,45855.0,-7.36,PAUSED,2023-02-21 00:00:00
42,8281,126,SIP,10000.0,,10764.6622,26.94,31.8,342316.26,18.04,ACTIVE,2022-04-01 00:00:00
43,5465,198,SIP,1500.0,,1614.1212,52.97,56.42,91068.72,6.51,ACTIVE,2024-05-25 00:00:00
44,1833,20,STP,,,69.6826,177.39,157.78,10994.52,-11.05,COMPLETED,2024-01-27 00:00:00
45,7042,33,SIP,1500.0,,92.8136,226.26,289.09,26831.48,27.77,COMPLETED,2024-01-03 00:00:00
46,4089,171,SIP,10000.0,,3479.5661,146.57,194.18,675662.15,32.48,COMPLETED,2022-11-13 00:00:00
47,2663,250,LUMPSUM,,50000.0,225.0934,222.13,181.01,40744.16,-18.51,CLOSED,2023-11-12 00:00:00
48,4066,69,SIP,5000.0,,5198.0198,40.4,53.46,277886.14,32.33,COMPLETED,2023-04-01 00:00:00
49,7542,90,SIP,10000.0,,2457.2261,219.76,205.2,504222.8,-6.63,CLOSED,2023-01-31 00:00:00
50,5379,72,LUMPSUM,,100000.0,1025.4307,97.52,107.82,110561.94,10.56,PAUSED,2025-10-23 00:00:00
51,453,30,LUMPSUM,,100000.0,1755.618,56.96,78.46,137745.79,37.75,ACTIVE,2023-06-28 00:00:00
52,1777,153,SIP,5000.0,,1101.046,199.81,212.17,233608.93,6.19,CLOSED,2022-08-25 00:00:00
53,9447,49,SIP,5000.0,,1957.9467,117.47,130.62,255747.0,11.19,COMPLETED,2025-11-07 00:00:00
54,5968,111,SIP,5000.0,,1166.9116,231.38,271.62,316956.53,17.39,PAUSED,2022-09-13 00:00:00
55,8309,80,SIP,1500.0,,273.8226,109.56,107.08,29320.92,-2.26,CLOSED,2023-01-28 00:00:00
56,6212,174,LUMPSUM,,50000.0,313.1851,159.65,156.55,49029.13,-1.94,ACTIVE,2025-01-27 00:00:00
57,4979,74,SIP,10000.0,,2709.848,151.3,180.47,489046.27,19.28,CLOSED,2024-06-23 00:00:00
58,3502,131,SIP,10000.0,,1596.1692,187.95,224.66,358595.37,19.53,PAUSED,2024-11-21 00:00:00
59,1531,210,SWP,,,328.3944,70.19,69.23,22734.74,-1.37,ACTIVE,2022-10-29 00:00:00
60,758,63,SWP,,,251.1566,158.65,200.07,50248.9,26.11,COMPLETED,2024-04-28 00:00:00
61,6292,127,SIP,1000.0,,354.6728,169.17,135.9,48200.03,-19.67,CLOSED,2022-08-07 00:00:00
62,3586,46,LUMPSUM,,200000.0,7462.6866,26.8,25.45,189925.37,-5.04,CLOSED,2022-09-06 00:00:00
63,2185,206,SIP,3000.0,,728.3027,247.15,286.02,208309.14,15.73,CLOSED,2024-06-25 00:00:00
64,8977,115,LUMPSUM,,200000.0,1656.0404,120.77,151.09,250211.14,25.11,PAUSED,2025-07-29 00:00:00
65,8541,125,SIP,1500.0,,342.1475,118.37,145.37,49737.98,22.81,PAUSED,2023-07-11 00:00:00
66,5239,229,SIP,1000.0,,416.2537,50.45,51.95,21624.38,2.97,COMPLETED,2025-12-17 00:00:00
67,1053,107,SIP,3000.0,,915.7362,124.49,104.24,95456.34,-16.27,ACTIVE,2024-03-08 00:00:00
68,9433,98,SIP,1500.0,,669.2497,85.17,88.07,58940.82,3.4,COMPLETED,2025-01-07 00:00:00
69,8000,57,SIP,2000.0,,5041.2466,21.82,21.86,110201.65,0.18,COMPLETED,2024-04-08 00:00:00
70,7658,236,SIP,3000.0,,1046.1144,140.52,188.88,197590.09,34.42,ACTIVE,2025-03-01 00:00:00
71,1376,165,SIP,10000.0,,2914.9798,123.5,102.53,298872.88,-16.98,COMPLETED,2023-11-02 00:00:00
72,7450,84,SIP,2000.0,,945.3912,80.39,110.19,104172.66,37.07,ACTIVE,2023-06-01 00:00:00
73,7706,5,LUMPSUM,,25000.0,100.008,249.98,252.47,25249.02,1.0,ACTIVE,2025-08-24 00:00:00
74,660,194,SIP,1000.0,,339.5311,61.85,50.24,17058.04,-18.77,COMPLETED,2023-05-04 00:00:00
75,7759,172,SIP,1000.0,,281.6221,124.28,118.53,33380.67,-4.63,ACTIVE,2022-12-10 00:00:00
76,2684,247,SIP,3000.0,,7845.9344,21.03,20.76,162881.6,-1.28,CLOSED,2024-02-08 00:00:00
77,3250,20,SIP,10000.0,,1908.867,162.4,139.85,266955.05,-13.89,ACTIVE,2025-11-02 00:00:00
78,9273,201,SIP,3000.0,,1141.1775,115.67,118.25,134944.24,2.23,PAUSED,2025-08-19 00:00:00
79,208,218,SIP,2000.0,,2613.0653,39.8,54.78,143143.72,37.64,COMPLETED,2024-07-30 00:00:00
80,7136,46,LUMPSUM,,100000.0,626.0173,159.74,215.93,135175.92,35.18,CLOSED,2024-09-17 00:00:00
81,7137,212,LUMPSUM,,100000.0,1102.0498,90.74,85.96,94732.2,-5.27,PAUSED,2022-06-27 00:00:00
82,7386,63,LUMPSUM,,200000.0,2126.5284,94.05,103.13,219308.87,9.65,COMPLETED,2023-10-28 00:00:00
83,7989,55,SIP,1500.0,,884.3967,94.98,126.15,111566.64,32.82,ACTIVE,2023-07-20 00:00:00
84,8465,243,SIP,1000.0,,325.6975,184.22,201.38,65588.96,9.31,CLOSED,2023-05-08 00:00:00
85,8042,115,LUMPSUM,,25000.0,297.0885,84.15,87.74,26066.54,4.27,PAUSED,2023-05-14 00:00:00
86,9529,95,SIP,3000.0,,1472.1236,95.78,133.9,197117.35,39.8,PAUSED,2023-11-09 00:00:00
87,7435,70,SIP,1000.0,,438.293,43.35,39.69,17395.85,-8.44,COMPLETED,2025-01-02 00:00:00
88,3139,56,LUMPSUM,,100000.0,539.7237,185.28,256.79,138595.65,38.6,PAUSED,2024-12-10 00:00:00
89,1648,214,SIP,1000.0,,571.0851,99.81,97.95,55937.79,-1.86,COMPLETED,2024-12-29 00:00:00
90,4495,12,SWP,,,125.9997,145.04,176.72,22266.67,21.84,CLOSED,2025-07-30 00:00:00
91,1681,224,SIP,1500.0,,275.3172,125.31,133.37,36719.05,6.43,PAUSED,2022-04-16 00:00:00
92,7828,30,LUMPSUM,,200000.0,1531.8627,130.56,149.65,229243.25,14.62,ACTIVE,2025-11-06 00:00:00
93,2486,39,LUMPSUM,,100000.0,2855.5111,35.02,33.23,94888.63,-5.11,CLOSED,2025-02-16 00:00:00
94,9934,153,LUMPSUM,,50000.0,253.434,197.29,202.86,51411.62,2.82,PAUSED,2024-06-25 00:00:00
95,9643,110,SIP,3000.0,,1852.4871,29.15,40.11,74303.26,37.6,COMPLETED,2023-03-02 00:00:00
96,4336,170,SIP,1000.0,,214.8612,55.85,47.2,10141.45,-15.49,CLOSED,2024-04-16 00:00:00
97,9730,121,SIP,1000.0,,495.7678,82.7,80.19,39755.62,-3.04,COMPLETED,2022-05-26 00:00:00
98,4335,202,LUMPSUM,,50000.0,435.1231,114.91,129.47,56335.39,12.67,COMPLETED,2025-08-19 00:00:00
99,4353,212,SIP,500.0,,546.3975,53.99,53.16,29046.49,-1.54,PAUSED,2025-03-11 00:00:00
100,7196,32,SIP,1500.0,,367.811,179.44,245.04,90128.41,36.56,CLOSED,2025-01-10 00:00:00
101,7173,21,SIP,2000.0,,138.578,187.62,218.06,30218.32,16.22,COMPLETED,2022-07-07 00:00:00
102,9425,151,SWP,,,110.6923,249.9,300.72,33287.39,20.34,ACTIVE,2025-03-26 00:00:00
103,2871,121,SIP,2000.0,,425.5689,230.28,209.3,89071.57,-9.11,CLOSED,2024-06-11 00:00:00
104,1495,121,SIP,1500.0,,364.8425,90.45,78.04,28472.31,-13.72,CLOSED,2023-11-07 00:00:00
105,8118,74,SIP,2000.0,,397.6914,206.19,233.01,92666.07,13.01,PAUSED,2022-06-30 00:00:00
106,4136,83,SIP,10000.0,,1091.1075,109.98,121.94,133049.65,10.87,CLOSED,2025-09-08 00:00:00
107,6771,14,SIP,1500.0,,371.9316,161.32,177.31,65947.19,9.91,COMPLETED,2022-04-16 00:00:00
108,4376,141,SIP,1500.0,,241.6073,117.96,143.79,34740.71,21.9,COMPLETED,2022-03-01 00:00:00
109,2595,80,SIP,3000.0,,514.0693,110.88,103.65,53283.28,-6.52,ACTIVE,2024-08-03 00:00:00
110,2523,128,STP,,,445.3762,83.59,102.25,45539.72,22.32,CLOSED,2024-09-15 00:00:00
111,3994,117,SIP,2000.0,,1973.5742,59.79,69.33,136827.9,15.96,ACTIVE,2022-10-07 00:00:00
112,4527,198,LUMPSUM,,200000.0,2108.148,94.87,120.73,254516.71,27.26,ACTIVE,2023-07-02 00:00:00
113,4635,186,SIP,3000.0,,416.4463,151.28,180.93,75347.63,19.6,CLOSED,2024-07-03 00:00:00
114,5655,86,SIP,3000.0,,694.7125,103.64,140.92,97898.89,35.97,COMPLETED,2025-11-29 00:00:00
115,9369,99,SIP,10000.0,,3765.8029,111.53,110.52,416196.54,-0.91,CLOSED,2025-12-15 00:00:00
116,6326,170,LUMPSUM,,50000.0,380.5175,131.4,108.04,41111.11,-17.78,PAUSED,2024-10-25 00:00:00
117,1645,224,LUMPSUM,,25000.0,180.3752,138.6,148.88,26854.26,7.42,CLOSED,2022-10-23 00:00:00
118,2530,20,SIP,1500.0,,840.736,94.56,114.95,96642.6,21.56,PAUSED,2022-06-14 00:00:00
119,8743,98,SWP,,,258.6445,162.3,216.26,55934.46,33.25,ACTIVE,2025-01-13 00:00:00
120,1122,61,SIP,1500.0,,234.563,249.4,311.27,73012.43,24.81,ACTIVE,2022-07-21 00:00:00
121,7270,43,SIP,500.0,,581.1701,25.81,32.98,19166.99,27.78,PAUSED,2024-01-05 00:00:00
122,7057,38,SIP,2000.0,,297.3174,147.99,188.76,56121.63,27.55,ACTIVE,2022-12-25 00:00:00
123,9986,223,SIP,5000.0,,1466.4804,71.6,96.5,141515.36,34.78,CLOSED,2023-04-21 00:00:00
124,4162,118,SIP,500.0,,66.3013,226.24,244.15,16187.46,7.92,COMPLETED,2025-10-19 00:00:00
125,1211,114,STP,,,153.0028,247.1,242.03,37031.27,-2.05,PAUSED,2025-11-14 00:00:00
126,7485,217,SIP,2000.0,,334.0602,215.53,186.22,62208.69,-13.6,PAUSED,2025-03-17 00:00:00
127,9418,76,SWP,,,425.9185,84.38,117.02,49840.98,38.68,ACTIVE,2023-07-17 00:00:00
128,9273,222,SIP,5000.0,,1210.0082,243.8,328.25,397185.19,34.64,PAUSED,2024-10-14 00:00:00
129,3771,156,LUMPSUM,,50000.0,303.7483,164.61,193.01,58626.46,17.25,COMPLETED,2025-10-20 00:00:00
130,1592,232,SIP,500.0,,279.6804,87.6,93.25,26080.2,6.45,COMPLETED,2024-01-18 00:00:00
131,1477,233,SIP,5000.0,,2041.9034,112.64,103.68,211704.54,-7.95,PAUSED,2024-01-20 00:00:00
132,2696,66,STP,,,123.8686,236.88,327.0,40505.03,38.04,ACTIVE,2023-11-25 00:00:00
133,7674,247,SIP,10000.0,,2395.4074,242.13,318.66,763320.52,31.61,CLOSED,2025-10-13 00:00:00
134,9132,94,SIP,2000.0,,4488.2321,18.27,20.5,92008.76,12.21,PAUSED,2024-01-25 00:00:00
135,9578,98,LUMPSUM,,100000.0,2471.5769,40.46,38.04,94018.79,-5.98,PAUSED,2022-02-21 00:00:00
136,9996,57,SIP,5000.0,,743.0133,208.61,280.71,208571.26,34.56,CLOSED,2025-08-22 00:00:00
137,1912,36,SIP,500.0,,104.0102,86.53,94.8,9860.17,9.56,COMPLETED,2023-04-26 00:00:00
138,6368,117,SIP,5000.0,,1371.2431,178.67,200.85,275414.18,12.41,CLOSED,2022-11-13 00:00:00
139,1623,214,SIP,2000.0,,475.2206,235.68,228.1,108397.82,-3.22,COMPLETED,2024-01-29 00:00:00
140,7265,114,SWP,,,157.7235,216.03,185.7,29289.25,-14.04,PAUSED,2025-01-20 00:00:00
141,993,102,SIP,500.0,,35.7113,238.02,308.12,11003.37,29.45,COMPLETED,2025-09-19 00:00:00
142,9784,249,SIP,10000.0,,5140.8375,93.37,130.09,668771.55,39.33,ACTIVE,2023-02-25 00:00:00
143,9081,54,SIP,10000.0,,957.2431,219.38,218.75,209396.93,-0.29,ACTIVE,2025-05-05 00:00:00
144,4543,220,SWP,,,86.7568,247.07,277.74,24095.83,12.41,ACTIVE,2022-08-14 00:00:00
145,2160,4,SIP,10000.0,,3243.5482,70.91,70.5,228670.15,-0.58,ACTIVE,2023-06-28 00:00:00
146,2077,190,SIP,500.0,,91.9939,190.23,206.54,19000.42,8.57,ACTIVE,2024-11-17 00:00:00
147,7406,129,SIP,3000.0,,6431.1235,25.19,31.99,205731.64,26.99,PAUSED,2024-12-03 00:00:00
148,7505,165,SWP,,,1240.0137,29.29,31.85,39494.44,8.74,ACTIVE,2024-05-23 00:00:00
149,8033,183,STP,,,1545.2433,32.27,27.38,42308.76,-15.15,ACTIVE,2022-10-31 00:00:00
150,2068,71,SIP,3000.0,,1042.6804,143.86,143.16,149270.13,-0.49,PAUSED,2024-12-22 00:00:00
151,7434,130,SIP,500.0,,131.592,201.38,174.93,23019.39,-13.13,COMPLETED,2025-08-26 00:00:00
152,7047,116,LUMPSUM,,200000.0,2113.0481,94.65,101.47,214410.99,7.21,ACTIVE,2024-05-01 00:00:00
153,5121,110,SIP,1500.0,,611.8881,102.96,91.8,56171.33,-10.84,ACTIVE,2022-05-18 00:00:00
154,1399,24,SIP,5000.0,,1245.8912,188.62,242.77,302465.01,28.71,PAUSED,2022-05-03 00:00:00
155,2003,106,SIP,5000.0,,1227.929,236.17,248.87,305594.69,5.38,PAUSED,2022-04-16 00:00:00
156,9838,80,SIP,3000.0,,938.6174,134.24,119.85,112493.3,-10.72,ACTIVE,2023-04-05 00:00:00
157,5737,217,SIP,500.0,,100.4068,194.21,222.27,22317.42,14.45,ACTIVE,2025-02-22 00:00:00
158,9978,238,SIP,5000.0,,3596.6602,77.85,70.71,254319.84,-9.17,PAUSED,2023-09-25 00:00:00
159,5752,2,SIP,1000.0,,141.8057,148.09,154.08,21849.42,4.04,ACTIVE,2025-07-20 00:00:00
160,1504,192,SIP,2000.0,,615.8719,113.66,114.18,70320.25,0.46,PAUSED,2023-10-01 00:00:00
161,9300,153,SIP,500.0,,145.4616,51.56,64.59,9395.36,25.27,ACTIVE,2025-10-12 00:00:00
162,4459,114,SIP,2000.0,,317.1381,157.66,165.31,52426.1,4.85,ACTIVE,2024-11-15 00:00:00
163,5656,111,SIP,5000.0,,1547.8101,174.44,190.48,294826.87,9.2,ACTIVE,2023-09-24 00:00:00
164,3613,102,SWP,,,855.5077,27.87,25.71,21995.1,-7.75,PAUSED,2022-10-09 00:00:00
165,4743,84,SIP,2000.0,,377.8536,190.55,172.53,65191.08,-9.46,COMPLETED,2024-12-26 00:00:00
166,8197,144,LUMPSUM,,100000.0,3130.8704,31.94,42.07,131715.72,31.72,CLOSED,2022-03-28 00:00:00
167,308,118,STP,,,218.6489,217.6,249.25,54498.24,14.55,CLOSED,2024-04-08 00:00:00
168,4744,30,SIP,1500.0,,1110.3087,55.39,75.81,84172.5,36.87,PAUSED,2025-11-13 00:00:00
169,1444,112,LUMPSUM,,50000.0,425.9669,117.38,122.11,52014.82,4.03,CLOSED,2022-06-11 00:00:00
170,5084,191,SIP,1500.0,,393.7604,198.09,167.55,65974.56,-15.42,COMPLETED,2022-08-22 00:00:00
171,5725,90,LUMPSUM,,50000.0,709.0187,70.52,62.61,44391.66,-11.22,COMPLETED,2023-02-09 00:00:00
172,9870,40,LUMPSUM,,25000.0,441.4621,56.63,71.56,31591.03,26.36,CLOSED,2024-10-08 00:00:00
173,9237,195,SIP,5000.0,,1119.8208,232.18,264.38,296058.22,13.87,PAUSED,2025-07-03 00:00:00
174,5180,39,SIP,2000.0,,487.7228,118.92,116.74,56936.76,-1.83,ACTIVE,2025-04-26 00:00:00
175,5767,130,SIP,2000.0,,495.0495,121.2,101.1,50049.5,-16.58,ACTIVE,2022-06-07 00:00:00
176,9734,130,SIP,3000.0,,289.1367,145.26,185.22,53553.9,27.51,COMPLETED,2024-07-10 00:00:00
177,5268,155,SIP,1000.0,,137.4656,240.06,256.94,35320.41,7.03,COMPLETED,2022-06-22 00:00:00
178,642,64,LUMPSUM,,200000.0,1447.597,138.16,161.08,233178.92,16.59,PAUSED,2024-01-16 00:00:00
179,4635,100,SIP,1500.0,,446.889,174.54,145.12,64852.53,-16.86,PAUSED,2025-08-18 00:00:00
180,1080,85,SIP,5000.0,,2551.0204,105.84,100.67,256811.22,-4.88,COMPLETED,2025-05-19 00:00:00
181,5462,21,SIP,1000.0,,229.9948,230.44,227.25,52266.32,-1.38,CLOSED,2025-12-01 00:00:00
182,2113,153,LUMPSUM,,25000.0,284.9003,87.75,90.03,25649.57,2.6,COMPLETED,2023-11-04 00:00:00
183,8625,24,SIP,2000.0,,461.0008,134.49,109.06,50276.75,-18.91,COMPLETED,2023-01-05 00:00:00
184,5599,243,LUMPSUM,,50000.0,732.7081,68.24,60.22,44123.68,-11.75,PAUSED,2022-06-08 00:00:00
185,1658,130,LUMPSUM,,25000.0,146.5846,170.55,226.12,33145.71,32.58,COMPLETED,2025-06-19 00:00:00
186,9786,97,SIP,1000.0,,104.5776,210.37,265.63,27778.95,26.27,ACTIVE,2024-06-15 00:00:00
187,6732,94,SIP,1000.0,,247.0661,242.85,283.25,69981.47,16.64,COMPLETED,2024-07-08 00:00:00
188,8750,62,SIP,10000.0,,1204.0335,199.33,267.58,322175.28,34.24,CLOSED,2024-01-24 00:00:00
189,7565,197,SIP,2000.0,,330.3799,133.18,140.0,46253.19,5.12,COMPLETED,2023-02-13 00:00:00
190,4097,14,SIP,10000.0,,5575.6627,102.23,139.09,775518.92,36.06,ACTIVE,2024-11-22 00:00:00
191,4671,22,LUMPSUM,,100000.0,829.2562,120.59,133.62,110805.21,10.81,ACTIVE,2024-06-14 00:00:00
192,3638,210,SIP,1500.0,,237.5246,233.66,245.09,58214.9,4.89,PAUSED,2024-10-25 00:00:00
193,3863,99,SWP,,,159.9709,103.1,84.22,13472.75,-18.31,PAUSED,2025-08-24 00:00:00
194,2393,36,SIP,10000.0,,4760.7712,126.03,163.67,779195.42,29.87,CLOSED,2025-12-15 00:00:00
195,7350,158,SIP,500.0,,539.2912,19.47,18.1,9761.17,-7.04,CLOSED,2025-01-28 00:00:00
196,1822,199,SIP,1500.0,,1787.7607,43.63,41.15,73566.35,-5.68,CLOSED,2025-06-29 00:00:00
197,1030,29,LUMPSUM,,200000.0,1288.4107,155.23,125.71,161966.11,-19.02,COMPLETED,2024-11-21 00:00:00
198,2353,75,SIP,3000.0,,704.7288,97.91,111.85,78823.92,14.24,ACTIVE,2025-09-22 00:00:00
199,8577,250,SIP,3000.0,,923.9815,142.86,181.7,167887.44,27.19,ACTIVE,2025-02-08 00:00:00
200,6398,224,SIP,5000.0,,2785.1208,105.92,108.46,302074.2,2.4,PAUSED,2022-02-03 00:00:00
201,1107,89,SIP,5000.0,,1813.8219,162.64,205.4,372559.02,26.29,COMPLETED,2023-11-12 00:00:00
202,727,91,SIP,10000.0,,3312.0559,166.06,215.58,714013.01,29.82,CLOSED,2024-08-09 00:00:00
203,2987,208,SIP,5000.0,,759.8784,197.4,212.13,161193.0,7.46,ACTIVE,2023-02-17 00:00:00
204,3269,227,SIP,1500.0,,506.9057,136.12,189.68,96149.87,39.35,PAUSED,2024-08-27 00:00:00
205,600,193,SIP,1500.0,,803.9236,98.89,125.44,100844.18,26.85,PAUSED,2023-11-11 00:00:00
206,2040,205,SIP,2000.0,,379.5867,189.68,253.56,96248.0,33.68,COMPLETED,2023-11-26 00:00:00
207,8130,178,SIP,10000.0,,4232.6498,137.03,175.49,742787.71,28.07,ACTIVE,2024-05-19 00:00:00
208,7056,155,SWP,,,291.2907,57.41,56.05,16326.84,-2.37,PAUSED,2022-06-13 00:00:00
209,4844,79,SIP,5000.0,,1476.4634,115.14,139.76,206350.52,21.38,ACTIVE,2024-07-04 00:00:00
210,5777,158,SWP,,,173.0257,79.52,110.38,19098.58,38.81,CLOSED,2022-06-03 00:00:00
211,5953,132,LUMPSUM,,50000.0,209.2838,238.91,211.59,44282.36,-11.44,CLOSED,2025-05-29 00:00:00
212,571,33,SIP,10000.0,,2880.9795,166.61,169.49,488297.22,1.73,COMPLETED,2022-03-08 00:00:00
213,7372,243,SIP,2000.0,,463.1536,194.32,222.37,102991.47,14.43,CLOSED,2024-01-22 00:00:00
214,5151,167,SIP,500.0,,1066.8563,21.09,19.23,20515.65,-8.82,ACTIVE,2024-03-03 00:00:00
215,4289,199,SIP,2000.0,,1712.0147,65.42,76.35,130712.32,16.71,COMPLETED,2024-10-02 00:00:00
216,2010,35,LUMPSUM,,200000.0,3599.0642,55.57,68.24,245600.14,22.8,PAUSED,2022-06-29 00:00:00
217,5693,182,SIP,3000.0,,792.888,83.24,81.57,64675.87,-2.01,COMPLETED,2025-12-28 00:00:00
218,5923,131,SIP,1000.0,,213.7814,201.14,189.48,40507.3,-5.8,PAUSED,2022-02-23 00:00:00
219,9078,147,SIP,10000.0,,691.0288,246.01,215.96,149234.58,-12.21,PAUSED,2022-05-15 00:00:00
220,6524,184,LUMPSUM,,200000.0,1021.7114,195.75,253.3,258799.5,29.4,COMPLETED,2022-06-01 00:00:00
221,5195,165,SIP,2000.0,,537.6652,174.83,176.0,94629.08,0.67,COMPLETED,2025-08-03 00:00:00
222,2115,111,SIP,10000.0,,7494.6467,28.02,24.5,183618.84,-12.56,COMPLETED,2023-09-15 00:00:00
223,2654,83,STP,,,647.2422,67.99,93.04,60219.41,36.84,ACTIVE,2023-08-05 00:00:00
224,4106,51,SIP,3000.0,,1924.5283,79.5,93.41,179770.19,17.5,ACTIVE,2024-12-28 00:00:00
225,8235,165,SIP,3000.0,,3395.7845,51.24,61.24,207957.84,19.52,PAUSED,2025-05-24 00:00:00
226,9235,11,LUMPSUM,,25000.0,733.3529,34.09,46.67,34225.58,36.9,PAUSED,2025-03-27 00:00:00
227,3454,197,SIP,3000.0,,944.5386,165.16,181.48,171414.87,9.88,PAUSED,2025-01-22 00:00:00
228,4950,124,SIP,10000.0,,909.2459,175.97,172.18,156553.96,-2.15,ACTIVE,2025-11-11 00:00:00
229,2590,113,SIP,2000.0,,1016.6799,62.95,73.27,74492.14,16.39,PAUSED,2023-10-16 00:00:00
230,6533,34,LUMPSUM,,25000.0,277.8086,89.99,97.18,26997.44,7.99,CLOSED,2023-07-02 00:00:00
231,4062,37,SIP,1500.0,,240.3339,237.17,312.71,75154.81,31.85,COMPLETED,2023-05-24 00:00:00
232,5365,240,SIP,1500.0,,1107.1968,59.61,53.39,59113.24,-10.43,CLOSED,2024-08-14 00:00:00
233,5056,128,SIP,2000.0,,373.7479,133.78,184.62,69001.34,38.0,PAUSED,2025-04-09 00:00:00
